Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RODRIGO CHAVEZ CONTRERAS," Buenos días a todas y todos. Con su permiso, presidenta.",0.0,10,14,10,2024
RODRIGO CHAVEZ CONTRERAS,"En el caso de Conavi, ¿qué vamos a hacer en los próximos seis años?, vamos a construir 500 mil viviendas nuevas con una inversión de 285 mil millones de pesos y vamos a mejorar 300 mil viviendas con 15 mil millones de pesos.",0.0,43,14,10,2024
RODRIGO CHAVEZ CONTRERAS,"Para esto, vamos a hacer unos financiamientos para la población no derechohabientes de bajos ingresos.",0.0,15,14,10,2024
RODRIGO CHAVEZ CONTRERAS,"Se construirán viviendas adecuadas con todos los servicios, hasta 60 metros cuadrados, es decir, con tres recámaras y todos los servicios.",0.0,21,14,10,2024
RODRIGO CHAVEZ CONTRERAS,"Habrá financiamientos subsidiados de una tasa de interés del cero por ciento, es decir, no tendrá intereses, y se realizará un estudio socioeconómico que determine la capacidad de pago del beneficiario.",0.0,31,14,10,2024
RODRIGO CHAVEZ CONTRERAS,Se pagará una mensualidad asequible que no rebase el 30 por ciento de los ingresos del beneficiario por un periodo de hasta 30 años.,0.0,24,14,10,2024
RODRIGO CHAVEZ CONTRERAS,¿Cómo se ingresará?,0.0,3,14,10,2024
RODRIGO CHAVEZ CONTRERAS,Se realizará un censo casa por casa y se abrirán unas solicitudes a través de los servidores de la nación.,0.0,20,14,10,2024
RODRIGO CHAVEZ CONTRERAS,"La que sigue. De estas 500 mil acciones de vivienda, se impulsará un programa de vivienda en renta para jóvenes:",0.0,20,14,10,2024
RODRIGO CHAVEZ CONTRERAS,Se construirán 100 mil viviendas para los jóvenes que tengan una edad entre 18 y 30 años.,0.0,17,14,10,2024
RODRIGO CHAVEZ CONTRERAS,Se construirán unidades habitacionales cercanos a los centros educativos y zonas industriales.,0.0,12,14,10,2024
RODRIGO CHAVEZ CONTRERAS,Los departamentos tendrán todos los servicios y habrá un prototipo adecuado para las y los jóvenes. La temporalidad de renta es de cinco años y podría ampliarse hasta dos años más.,0.0,31,14,10,2024
RODRIGO CHAVEZ CONTRERAS,"Una renta asequible que no rebase el 30 por ciento de las y los jóvenes trabajadores, y las jóvenes estudiantes se realizará un estudio socioeconómico que determine su capacidad de pago.",0.0,31,14,10,2024
RODRIGO CHAVEZ CONTRERAS,"Es cuanto, presidenta.",0.0,3,14,10,2024
RODRIGO CHAVEZ CONTRERAS,Muchas gracias.,0.0,2,14,10,2024
