Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARATH BOLAÑOS LOPEZ, Muy buenos días a todas y todos.,0.0,7,16,10,2024
MARATH BOLAÑOS LOPEZ,"Me da mucho gusto estar en esta mañanera del pueblo para, justamente atendiendo las instrucciones de la presidenta, presentar lo relativo al programa Jóvenes Construyendo el Futuro, con lo cual les pediría por favor que nos ayuden con la primera diapositiva.",0.0,41,16,10,2024
MARATH BOLAÑOS LOPEZ,"Decir al respecto de este programa que, como saben, es un Programa de Bienestar del Gobierno de México enfocado a atender a hombres y mujeres jóvenes entre 18 y 29 años que no estudian y no trabajan.",0.0,37,16,10,2024
MARATH BOLAÑOS LOPEZ,"A través de la capacitación en el trabajo en diversas unidades económicas como son talleres, negocios, empresas, tiendas, entre otros, las y los jóvenes aprenden mientras en esta capacitación de 12 meses reciben un salario, además, un salario mínimo de manera directa a través de la tarjeta del Banco del Bienestar. Y este apoyo económico es justamente muy importante porque, además, se ha ido incrementando con el tiempo a la par de lo que se ha ido incrementando también el salario mínimo.",0.0,82,16,10,2024
MARATH BOLAÑOS LOPEZ,"Y se suma este apoyo el que se le da de la incorporación al seguro médico del IMSS para que los jóvenes a lo largo de esta capacitación, a lo largo de este año, puedan tener no solamente este derecho a la ocupación y al aprendizaje dentro de las unidades económicas, sino también a un seguro médico.",0.0,57,16,10,2024
MARATH BOLAÑOS LOPEZ,"Desde el año 2019, desde el inicio de su implementación, han participado dos millones 973 mil 461 jóvenes, representando una inversión en la juventud, sin precedentes en la historia de nuestro país, de más de 135 mil millones de pesos en seis años, lo que contrasta de manera radical con los menos de siete mil millones de pesos que se destinaron en los gobiernos neoliberales en cerca de 30 años que implementaron políticas de juventud, es decir, 135 mil en los gobiernos de la transformación a siete mil que se hicieron durante 30 años de gobiernos neoliberales; pues es, evidentemente, un brinco importantísimo en la inversión de la juventud.",0.0,109,16,10,2024
MARATH BOLAÑOS LOPEZ,"Es importante aquí resaltar que este programa se aplica a nivel nacional, pero dándole preferencia de atención a las y los jóvenes que habitan en los municipios y colonias con mayor pobreza y con mayor incidencia delictiva, siendo una herramienta fundamental de atención a las causas para complementar con ello la estrategia de pacificación del país.",0.0,56,16,10,2024
MARATH BOLAÑOS LOPEZ,"Asimismo, se destaca que siete de cada 10 jóvenes que formaron parte del programa se encuentran ocupados posterior a su participación en él, ya sea con un empleo, con alguna ocupación productiva o también en el estudio. Y de igual manera es relevante señalar que 60 por ciento de las beneficiarias son mujeres.",0.0,53,16,10,2024
MARATH BOLAÑOS LOPEZ,"Como la presidenta también lo ha informado, Jóvenes Construyendo el Futuro se mantendrá como un Programa para el Bienestar del Gobierno de México que, además de ser materia de una de las reformas constitucionales en curso de revisión para establecerlo como un derecho a la juventud mexicana, en el artículo 123 constitucional, pues también, como ya se ha mencionado, se va a hacer la incorporación de los nuevos jóvenes para el próximo año, haciendo una apertura, esto en el mes de diciembre, y comenzar así la incorporación para el año 2025 que se tiene estimada de 500 mil nuevos beneficiarios, nuevas beneficiarias.",0.0,102,16,10,2024
MARATH BOLAÑOS LOPEZ,"Esto va a representar en el año 2025 una inversión de 25 mil millones de pesos en este programa, con lo cual, además, lo vamos a complementar con una importante estrategia territorial para que podamos con ello llegar directamente a las comunidades donde los jóvenes así más lo requieren.",0.0,49,16,10,2024
MARATH BOLAÑOS LOPEZ,"Esto, en cuanto al programa. Es cuanto, presidenta.",0.0,8,16,10,2024
MARATH BOLAÑOS LOPEZ,"Y si ahora nos lo permiten, pasaríamos a también abordar el tema relativo a la reforma a la Ley Federal del Trabajo sobre el trabajo en plataformas digitales. Esto, como saben, pues es un compromiso establecido por la presidenta de México para la atención de esta población.",0.0,47,16,10,2024
MARATH BOLAÑOS LOPEZ,"Y decirles en ese sentido que, para dimensionar el impacto de la iniciativa de reforma, tenemos que mencionar que, según datos del Servicio de Administración Tributaria, cerca de 658 mil personas están empleadas a través de las plataformas digitales. De este universo, aproximadamente 272 mil personas trabajadoras, es decir, el 41 por ciento de ellas, logran ingresos equivalentes o superiores al salario mínimo mensual, lo que permite tener una estimación respecto al número de personas que podrían tener su fuente de ingresos principal o única a través de este tipo de trabajo.",0.0,92,16,10,2024
MARATH BOLAÑOS LOPEZ,"En ese sentido, quiero comentar que desde la administración del presidente Andrés Manuel López Obrador se comenzó un diálogo con las principales empresas, también con organizaciones de trabajadores, de las trabajadoras, con la finalidad de avanzar con una propuesta que permitiera, justamente, el reconocimiento de ellas y de ellos.",0.0,49,16,10,2024
MARATH BOLAÑOS LOPEZ,"Se han realizado cerca de 30 reuniones con los distintos representantes, donde también han participado otras instancias del Gobierno de México. Destacar aquí, por ejemplo, el Instituto Mexicano del Seguro Social, evidentemente por ser la institución que da justamente estos servicios de cobertura de seguridad social, y por supuesto también del Infonavit.",0.0,52,16,10,2024
MARATH BOLAÑOS LOPEZ,Y comentarles que la regulación del trabajo en plataforma se encuentra lleno de retos y de oportunidades donde encontramos justamente las siguientes:,0.0,22,16,10,2024
MARATH BOLAÑOS LOPEZ,"Por una parte, el modelo de negocios es un modelo donde, como conocen ustedes, se ofrece a choferes y repartidores la flexibilidad de horarios.",0.0,24,16,10,2024
MARATH BOLAÑOS LOPEZ,"Y, por la otra, también decir que este modelo permite ser una fuente de ingreso para miles de familias en todo el territorio nacional. Durante la pandemia incluso, ustedes recordarán, fueron estos trabajadores de plataformas digitales quienes tuvieron un auge evidentemente, llevando incluso también servicios y también comida a domicilio.",0.0,50,16,10,2024
MARATH BOLAÑOS LOPEZ,"Uno de los desafíos de este sector es el reconocimiento de los derechos laborales de las personas trabajadoras, pues es muy limitado, lo que precariza su empleo; es, además, inexistente el acceso a la seguridad social para las y los trabajadores y sus familiares, y además se generan desconexiones para las y los trabajadores de las aplicaciones digitales sin explicaciones previas ni tampoco avisos.",0.0,64,16,10,2024
MARATH BOLAÑOS LOPEZ,"Esto evidentemente nos obliga —ya, también, después de este diagnóstico— a identificar una serie de mejoras que se tienen que hacer en términos legislativos para que podamos avanzar con la cobertura de este sector poblacional, y es por ello que estamos proponiendo una reforma a la Ley Federal del Trabajo, porque tenemos la necesidad de formalizar y de dignificar el trabajo mediante regulaciones innovadoras y específicas para el sector, manteniendo la flexibilidad, la autonomía, que son características propias de este modelo de negocios.",0.0,83,16,10,2024
MARATH BOLAÑOS LOPEZ,"Y, bueno, a continuación, siguiendo las instrucciones de la presidenta Claudia Sheinbaum, es que justamente presentaré algunos de los puntos más importantes relativos a esta iniciativa:",0.0,26,16,10,2024
MARATH BOLAÑOS LOPEZ,"Por una parte, se añade un capítulo a la Ley Federal del Trabajo para regular el trabajo en plataformas digitales para choferes y para repartidores.",0.0,25,16,10,2024
MARATH BOLAÑOS LOPEZ,Se establece la creación de un régimen transitorio para que el IMSS implemente un piloto de carácter obligatorio para las empresas.,0.0,21,16,10,2024
MARATH BOLAÑOS LOPEZ,"Por otra parte, las personas trabajadoras seguirán escogiendo sus horarios de trabajo, así como la o las plataformas en las cuales van a trabajar. Esto es muy importante porque se mantiene la libertad para las y los trabajadores, es decir, ellas y ellos son los que definen el tiempo donde van a estar conectados en las plataformas.",0.0,57,16,10,2024
MARATH BOLAÑOS LOPEZ,"También se reconoce la subordinación discontinua y acotada al tiempo efectivamente trabajado, es decir, se reconoce la subordinación discontinua, que es uno de los puntos que además se preguntaba al respecto de esto.",0.0,33,16,10,2024
MARATH BOLAÑOS LOPEZ,"Y mencionar que, además, pues no se tiene afectación en el fondo ni tampoco ningún cambio en el modelo de negocio.",0.0,21,16,10,2024
MARATH BOLAÑOS LOPEZ,¿Qué es lo que estamos buscando con ello?,0.0,8,16,10,2024
MARATH BOLAÑOS LOPEZ,"Pues que haya claridad en las reglas de trabajo, que exista un registro de contrato ante el Centro Federal de Conciliación y Registro Laboral, que además la política de gestión algorítmica del trabajo que está pues detrás, digamos, o lo que administra en general el trabajo dentro de la plataforma pues se expliquen de manera muy clara las reglas del algoritmo, y este documento formará parte ahora del contrato de trabajo. Con ello habrá muchísima más claridad para las y los trabajadores de los mecanismos de asignación de los servicios.",0.0,90,16,10,2024
MARATH BOLAÑOS LOPEZ,"Y uno de los puntos muy importantes es justamente el otorgamiento de la protección social, que es justamente que las personas trabajadoras que generen más de un salario mínimo tendrán derecho a los seguros y servicios del IMSS. Riesgos de trabajo, enfermedades, incapacidad, maternidad, pensiones y guardería quedarán así cubiertas.",0.0,50,16,10,2024
MARATH BOLAÑOS LOPEZ,"También tendrán derecho a créditos del Infonavit, como cualquier otro trabajador formalmente registrado.",0.0,13,16,10,2024
MARATH BOLAÑOS LOPEZ,"Tendrán seguro contra accidentes de trabajo todas las personas trabajadoras, independientemente de su monto de ingreso durante el tiempo efectivamente trabajado.",0.0,21,16,10,2024
MARATH BOLAÑOS LOPEZ,"Se establece —la siguiente, por favor—, se establecen reglas para desconexión con y sin responsabilidad para las plataformas. Para los casos graves, podrá ser inmediata por incumplimiento de pedidos o en general. Decirles las reglas con las cuales se dará que en al menos tres días de anticipación previos a la desconexión puedan tener conocimiento de ello.",0.0,57,16,10,2024
MARATH BOLAÑOS LOPEZ,En todos los casos deberá haber mecanismos de revisión gestionados por personas y no por algoritmos o computadoras.,0.0,18,16,10,2024
MARATH BOLAÑOS LOPEZ,"Además, que estamos incluyendo otras disposiciones, esto, por ejemplo, con perspectiva de género, incluyendo mecanismos especializados para la atención en casos de acoso, hostigamiento o similares.",0.0,26,16,10,2024
MARATH BOLAÑOS LOPEZ,"Y, por supuesto, también respetando y cubriendo el pago correspondiente de utilidades para las y los trabajadores que participan en estas plataformas.",0.0,22,16,10,2024
MARATH BOLAÑOS LOPEZ,"Respecto a las facilidades e innovaciones en el aseguramiento en el IMSS, informo lo siguiente:",0.0,15,16,10,2024
MARATH BOLAÑOS LOPEZ,"Se crean reglas específicas para el trabajo en plataformas digitales, incluyendo un programa piloto, como ya mencioné, para las plataformas, esto de 180 días.",0.0,24,16,10,2024
MARATH BOLAÑOS LOPEZ,"Va a haber un alta en el IMSS a inicio de mes sin pago, con un ajuste retroactivo, y pago a final de mes. Se generarán registros patronales a nivel nacional para cada una de las plataformas digitales.",0.0,38,16,10,2024
MARATH BOLAÑOS LOPEZ,"En caso de que ocurrieran accidentes en el trabajo, la plataforma con la que se esté prestando el servicio el trabajador será justamente la que dará el aseguramiento y la cobertura.",0.0,31,16,10,2024
MARATH BOLAÑOS LOPEZ,"En caso de no alcanzar un salario mínimo, trabajadoras y trabajadores podrán optar por su aseguramiento en el régimen de personas trabajadoras independientes.",0.0,23,16,10,2024
MARATH BOLAÑOS LOPEZ,"Y, en suma, para finalizar esta exposición, quisiera clarificar cuál es el sentido de esta reforma:",0.0,16,16,10,2024
MARATH BOLAÑOS LOPEZ,"Por una parte, las personas trabajadoras de plataformas digitales durante el tiempo efectivamente trabajado tendrán protección contra accidentes de trabajo; esto, en el Instituto Mexicano del Seguro Social, durante cada viaje o servicio, o tarea prestada, beneficiando a 658 mil personas trabajadoras.",0.0,42,16,10,2024
MARATH BOLAÑOS LOPEZ,"Por otra parte, las personas trabajadoras con al menos un salario mínimo de ingreso generado en la plataforma tendrán todos los derechos establecidos por la Ley Federal del Trabajo y la Ley del Seguro Social, beneficiando a más de 272 mil personas y sus familias.",0.0,45,16,10,2024
MARATH BOLAÑOS LOPEZ,"Con esta reforma, presidenta, estamos atendiendo el compromiso establecido por usted frente al pueblo de México, dando un paso sin precedentes en la protección de los derechos de las personas que trabajan en plataformas digitales.",0.0,35,16,10,2024
MARATH BOLAÑOS LOPEZ,"Y ahora, si me permiten, justamente para poder formalizar este compromiso, la presidenta nos va a apoyar con la firma de la iniciativa del proyecto de decreto a la Ley Federal del Trabajo en materia de trabajo de plataformas digitales, con lo cual en los próximos días se estará haciendo la entrega correspondiente a las cámaras para que hagan su discusión, evaluación y, eventualmente, aprobación.",0.0,65,16,10,2024
MARATH BOLAÑOS LOPEZ,Muchísimas gracias.,0.0,2,16,10,2024
PREGUNTA, ¿Cuándo la presenta?,0.0,3,16,10,2024
MARATH BOLAÑOS LOPEZ," Sí, justamente se van a hacer todos los procesos para que, pues en estos días siguientes pueda ya ser presentada formalmente en la cámara.",0.0,24,16,10,2024
PREGUNTA, (inaudible),0.0,1,16,10,2024
MARATH BOLAÑOS LOPEZ," Bueno, eso ya corresponderá eventualmente… en diputados, va a ser Cámara de Diputados.",0.0,13,16,10,2024
MARATH BOLAÑOS LOPEZ,"Bien, pues muchísimas gracias. Con permiso.",0.0,6,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO, Adelante.,0.0,1,16,10,2024
MIGUEL ANGEL ELORZA VASQUEZ," Con su permiso, presidenta. Buenos días a todas y todos.",0.0,10,16,10,2024
MIGUEL ANGEL ELORZA VASQUEZ,"Comienzo la sección agradeciendo a las y los ciudadanos que enviaron al correo electrónico detectordementiras@infodemia.mx sus consultas sobre diversas noticias falsas que circularon en medios de comunicación, redes sociales y plataformas de mensajería. Incluso, y esto hay que destacarlo, hubo quienes enviaron el material para elaborar el desmentido, lo que significa que las y los ciudadanos identifican las mentiras y cotejan la información con fuentes confiables. Juntos luchamos contra la infodemia.",0.0,71,16,10,2024
MIGUEL ANGEL ELORZA VASQUEZ,"Durante estos últimos días hubo una avalancha de mentiras y tergiversaciones para desacreditar el método de insaculación que utilizó el Senado de la República para seleccionar los cargos que se elegirán en la elección extraordinaria del Poder Judicial en 2025, como si este método fuera un mecanismo antidemocrático, desorganizado e improvisado, olvidando que la insaculación es un método usado para eliminar la discrecionalidad y opacidad.",0.0,65,16,10,2024
MIGUEL ANGEL ELORZA VASQUEZ,"Por ejemplo, en marzo de 2023, en la última designación de los consejeros electorales, el Instituto Nacional Electoral, la Cámara de Diputados recurrió a este mecanismo, como lo estipula el artículo 41 de la Constitución. Además, el propio INE utiliza la insaculación como un procedimiento aleatorio e imparcial de selección de los ciudadanos que desempeñarán los cargos de funcionarios de casilla.",0.0,61,16,10,2024
MIGUEL ANGEL ELORZA VASQUEZ,"Esta semana también circularon en redes sociales videos creados o alterados con inteligencia artificial. Como cualquier tecnología, esta no es buena ni mala por sí misma, sino hay quienes la utilizan para generar mentiras y desinformar a la sociedad, como hay quienes utilizan a los medios de comunicación y a las redes sociales para diseminar mentiras y discursos de odio.",0.0,60,16,10,2024
MIGUEL ANGEL ELORZA VASQUEZ,Vamos a ver el video del ‘Detector de mentiras’ de esta semana.,0.0,12,16,10,2024
PREGUNTA," En la semana del 10 al 15 de octubre, en redes sociales y medios de información circularon mentiras sobre diversos temas que el ‘Detector de mentiras’ rastreó con el apoyo de la ciudadanía.",0.0,33,16,10,2024
PREGUNTA,"Uno. El Senado seleccionó por tómbola a jueces, magistrados y ministros del Poder Judicial. Mentira. A través del proceso de insaculación, realizado en el Senado el 12 de octubre, se seleccionó a la mitad de las magistraturas de circuito y juzgados de distrito a elegirse el 1º de junio de 2025; es decir, sólo se seleccionó a los puestos que se elegirán y no a las personas.",0.0,67,16,10,2024
PREGUNTA,"Esta línea desinformativa también apareció en las columnas de periódicos de circulación nacional, pues de las 43 columnas publicadas el lunes 14 de octubre en los diarios, Reforma, El Universal, Milenio, Excélsior y El Financiero, 21 de ellas, es decir, el 48.83 por ciento incurrieron en información imprecisa o falsa sobre el proceso de selección de las judicaturas y magistraturas, y de la reforma al Poder Judicial.",0.0,67,16,10,2024
PREGUNTA,"Dos. Las reformas de la Cuarta Transformación van en camino contrario a lo señalado en el libro ‘Por qué fracasan los países’, de los ganadores del Premio Nobel de Economía. Mentira. El libro ‘Por qué fracasan los países’ fue publicado en 2012 y en él los autores señalan que, en las décadas previas a su publicación, México ha continuado enfrentando problemas relacionados con la concentración del poder económico en manos de unos pocos, es decir, cuestiona el modelo neoliberal y no a las políticas económicas actuales.",0.0,86,16,10,2024
PREGUNTA,"Tres. En redes sociales se reactivó un video en el que supuestamente la presidenta Claudia Sheinbaum llama a invertir en una plataforma financiera. Mentira. El video está manipulado con inteligencia artificial, el original corresponde a mayo de 2024, cuando la entonces candidata presidencial Claudia Sheinbaum desmintió que cerraría las iglesias en México si ganaba la Presidencia.",0.0,56,16,10,2024
PREGUNTA,"Cuatro. Falso video del Palacio Real de Madrid con una manta con la leyenda: ‘Nada por lo que pedir perdón’. El video que circula en redes sociales fue creado con inteligencia artificial y compartido por Juan Pflüger, responsable nacional de prensa del partido español VOX.",0.0,45,16,10,2024
PREGUNTA,"Cinco. Es falso que las Fuerzas Armadas hubieran dado un mensaje de rendición en Culiacán, Sinaloa. El motivo del sobrevuelo de la aeronave militar en la ciudad de Culiacán fue por los ensayos que realizaron las Fuerzas Armadas para la inauguración de la Liga Arco del Pacífico en las instalaciones del estadio de los Tomateros de Culiacán.",0.0,57,16,10,2024
PREGUNTA,"Seis. Circula un mensaje falso que asegura que el Senado de la República discute una ley que pretende encarcelar a religiosos por predicar a horas impropias. Mentira. En la Gaceta Oficial del Senado mexicano no existe ninguna iniciativa similar o de este tipo. Esta mentira circula en mensajes desde 2016 y ha sido desmentida en varios países como República Dominicana, Bolivia y Colombia.",0.0,63,16,10,2024
PREGUNTA,"Siete. El Tren Maya sigue siendo objeto de las noticias falsas; en redes sociales se afirma que el recorrido del tren de Campeche a Mérida tarda más de ocho horas, mientras que un autobús realiza el mismo recorrido en dos horas. Mentira. El recorrido del tren de San Francisco de Campeche a la estación Teya Mérida se realiza aproximadamente en una hora con 56 minutos y dos horas 26 minutos, dependiendo el horario seleccionado, mientras que el autobús completa el recorrido de Campeche a Mérida en dos horas con 35 minutos en promedio.",0.0,93,16,10,2024
MIGUEL ANGEL ELORZA VASQUEZ," Antes de despedirme, reiterar que en Infodemia recibimos las solicitudes de desmentidos a través del correo electrónico detectordementiras@infodemia.mx",0.0,18,16,10,2024
MIGUEL ANGEL ELORZA VASQUEZ,Muchas gracias y hasta el próximo miércoles.,0.0,7,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Bueno, nada más déjenme comentar sobre la iniciativa. Son 658 mil, ¿verdad?, trabajadores y trabajadoras que están vinculadas con las plataformas digitales.",0.0,22,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Quienes las hemos usado, quienes no conocen de ellas, uno, a través de una plataforma digital en el teléfono solicita un servicio, sea alimentación o que llevan productos de alguna tienda. Este trabajo, como todos sabemos, aumentó mucho en la pandemia, o sea, estamos hablando 658 mil trabajadores y trabajadoras en el país.",0.0,53,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Las contrataciones de estas plataformas, que la mayoría son empresas trasnacionales —la mayoría, aunque hay algunas que están vinculadas a algunas tiendas—, generaron una forma de incorporar a los repartidores que no tiene nada que ver con la Ley Federal del Trabajo, en una manera de no reconocer las obligaciones que tiene un empleador con sus trabajadores.",0.0,57,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, se contratan como socios, que no son socios, solamente para evitar incorporar a las y los trabajadores a los derechos que deben de tener. Si fueran socios, deberían de tener también reparto de utilidades.",0.0,35,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entones, el objetivo es regular y permitir que las y los trabajadores repartidores tengan derechos amparados por la ley. Algunos trabajarán dos horas al día; se reconoce eso, no necesitan trabajar tiempo completo. Algunos otros trabajarán ocho horas al día, algunos trabajan hasta más. Todo eso tiene que ser regulado, ¿para qué? Para beneficio de las y los trabajadores.",0.0,59,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Esto no se hizo aislado, se trabajó por la Secretaría del Trabajo durante varios meses con las plataformas y con las y los trabajadores, y también con el IMSS e Infonavit. El objetivo de esta ley es que tengan derechos, que tengan derecho al reparto de utilidades, que tengan derecho a ser atendidos en el Seguro Social si tienen un accidente, que tengan derecho a seguridad social si trabajaban tiempo completo. Entonces, estamos mejorando las condiciones de vida de las y los trabajadores repartidores en México. Entonces, algo muy importante.",0.0,90,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Casi en ningún país existe esto, pero es algo obligatorio y es parte de lo que nosotros concebimos en la Cuarta Transformación. No puede haber un esquema de trabajo que esté fuera de la ley, tiene que incorporarse necesariamente a la Ley Federal del Trabajo. Entonces, esto es. Y es muy bueno.",0.0,52,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Al mismo tiempo, Jóvenes Construyendo el Futuro va a seguir, incluso va a pasar a la Constitución, ya va avanzado en el Congreso, y tiene el objetivo de seguir atendiendo a las y a los jóvenes.",0.0,36,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Durante todo el periodo neoliberal se hablaba de la palabra ‘oportunidad’, que el joven tenga oportunidad de trabajar, que el joven tenga oportunidad —o la joven— de tener acceso a la escuela. Lo que nosotros concebimos es que son derechos a los que debe tener acceso una o un joven. Que quede atrás el ‘nini’, que quede atrás la palabra ‘rechazado’ como parte del pasado que no queremos que vuelva, y que las y los jóvenes mexicanos tengan acceso al derecho a la educación, al derecho a la salud, al derecho al trabajo, y por eso Jóvenes Construyendo el Futuro va a seguir.",0.0,103,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, son dos temas muy importantes.",0.0,6,16,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y ahora sí pasamos a las preguntas. Bueno, primera fila. A ver, acá.",0.0,13,16,10,2024
PREGUNTA," Buenos días, presidenta.",0.0,3,16,10,2024
PREGUNTA,"Alejandra Tornez, para Somos Más, Tabasco.",0.0,6,16,10,2024
