Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ERNESTINA GODOY RAMOS," Muchas gracias. Muy buenos días. Con su permiso, presidenta.",0.0,9,2,10,2024
ERNESTINA GODOY RAMOS,Sólo voy a leer dos de los considerandos y el acuerdo que hoy estará firmando la presidenta.,0.0,17,2,10,2024
ERNESTINA GODOY RAMOS,"Que, asimismo, en reconocimiento al hecho que el movimiento estudiantil y popular fue precursor del proceso de democratización y expansión de las libertades democráticas que se viven actualmente en nuestro país, en diversos recintos legislativos se han inscrito leyendas y en muros de honor.",0.0,44,2,10,2024
ERNESTINA GODOY RAMOS,"Que, para contribuir a la verdad y la preservación de la memoria histórica en torno a esta masacrey en vista de que hasta ahora no ha existido un reconocimiento político, expreso y formal de responsabilidad por parte del Estado mexicano, he tenido a bien a expedir el siguiente acuerdo:",0.0,49,2,10,2024
ERNESTINA GODOY RAMOS,"‘Artículo 1º. En nombre y representación del Estado mexicano, se reconoce políticamente que los actos de violencia gubernamental perpetrados el 2 de octubre de 1968 en contra de integrantes del heroico movimiento estudiantil fueron constitutivos de un crimen de lesa humanidad, como fue reconocido por el entonces presidente de la República y comandante supremo de las Fuerzas Armadas, Gustavo Díaz Ordaz, durante la lectura de 5º informe de gobierno. Textual dijo: ‘Por mi parte, asumo íntegramente la responsabilidad personal, ética, social, jurídica, política e histórica por las decisiones del gobierno en relación con los sucesos del año pasado’.",0.0,98,2,10,2024
ERNESTINA GODOY RAMOS,"‘Artículo 2º. Se instruye a la titular de la Secretaría de Gobernación para que, en nombre y en representación del Estado mexicano se ofrezca una disculpa pública por esa grave atrocidad gubernamental a las víctimas, a sus familiares y a la sociedad mexicana en su conjunto.",0.0,46,2,10,2024
ERNESTINA GODOY RAMOS,"‘Artículo 3º. En nombre y representación del Estado mexicano, el Ejecutivo federal a mi cargo se compromete a garantizar la no repetición de atrocidades como a las que se refiere el presente acuerdo, actos de represión, actos de privación ilegal de la libertad, uso de las Fuerzas Armadas contra la población, utilización de cárceles clandestinas, tortura u otros tratos crueles inhumanos o degradantes o a la anuencia del Estado para destruir o exterminar a un grupo de la población mexicana.",0.0,80,2,10,2024
ERNESTINA GODOY RAMOS,‘Artículo 4º. Quedan a salvo los derechos que legalmente les asisten a las víctimas y a sus familiares.,0.0,18,2,10,2024
ERNESTINA GODOY RAMOS,"‘Artículo 5º. Este reconocimiento político servirá para la materialización de actos subsecuentes de impulso a la justicia, la preservación de la memoria histórica y la no repetición de los hechos.",0.0,30,2,10,2024
ERNESTINA GODOY RAMOS,"‘Artículo 6º. En mi calidad de comandanta suprema de las Fuerzas Armadas, asumo el compromiso solemne y giraré las correspondientes órdenes formales para sus estructuras y elementos nunca más sea utilizados para atacar o reprimir al pueblo de México, y que se fortalezca la formación en derechos humanos y construcción de paz, se asuma el reconocimiento de los hechos históricos aquí mencionados y se garantice su no repetición’.",0.0,68,2,10,2024
ERNESTINA GODOY RAMOS,Esto entrará en vigor el día de la publicación en el Diario Oficial.,0.0,13,2,10,2024
ERNESTINA GODOY RAMOS,Muchas gracias.,0.0,2,2,10,2024
