Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RAMON JIMENEZ LOPEZ," Gracias, presidenta. Con su permiso.",0.0,5,23,10,2024
RAMON JIMENEZ LOPEZ,"Para contribuir a lograr la soberanía e independencia tecnológica, en el Tecnológico Nacional de México estamos en una permanente actualización de la currícula de los planes y programas de licenciatura y posgrado, haciendo énfasis en las áreas STEM: ciencia, tecnología, ingeniería, matemáticas; y STEMH con H es humanidades.",0.0,48,23,10,2024
RAMON JIMENEZ LOPEZ,"En este sentido, los planes de estudio autorizados del 2023 al 2024, y que ya están funcionando, son: Ingeniería en Semiconductores, Ingeniería Ferroviaria, Ingeniería en Inteligencia Artificial, Ingeniería en Ciberseguridad, Ingeniería en Ciencia de Datos, Ingeniería en Desarrollo de Aplicaciones y la Licenciatura en Medicina, Veterinaria y Zootecnia.",0.0,48,23,10,2024
RAMON JIMENEZ LOPEZ,"Lo que tenemos proyectado de aquí al 2030, entre otras carreras, son las siguientes: Ingeniería en Electromovilidad, Ingeniería Farmacéutica, Ingeniería Aeroespacial, Ingeniería en Agua Limpia y Saneamiento, Ingeniería en Materiales Estratégicos y la Ingeniería en Mineralogía, entre otras.",0.0,38,23,10,2024
RAMON JIMENEZ LOPEZ,Esto es muy importante porque cada uno de estos nuevos planes y programas de estudio van alineados con los programas estratégicos del Gobierno de México.,0.0,25,23,10,2024
RAMON JIMENEZ LOPEZ,"En lo que se refiere a posgrados, del 2023 al 2024 iniciamos la Maestría y Doctorado en Semiconductores, Maestría y Doctorado en Economía Social y Solidaria, Maestría en Producción Agrícola Sostenible, Maestría en Ingeniería Biomédica, Doctorado en Tecnología de Alimentos Funcionales, especialidad en cadena de valor del litio, Maestría en Ciencia de Datos. En total, fueron 25 nuevos posgrados, aquí mencionamos solamente estos.",0.0,63,23,10,2024
RAMON JIMENEZ LOPEZ,"En la proyección para los nuevos planes de estudio de posgrado de 2024 a 2030, tenemos proyectado la Maestría y Doctorado en Electromovilidad, Doctorado en Producción Agrícola Sostenible, Maestría en Sistemas Ferroviarios, Maestría en Agua Limpia y Saneamiento, Maestría en Ingeniería Farmacéutica y la Maestría en Aeronáutica.",0.0,47,23,10,2024
RAMON JIMENEZ LOPEZ,"Como ven todos estos programas, insisto, van a alineados con los proyectos estratégicos del gobierno. El Tecnológico Nacional de México, como lo ven en la gráfica, cuenta actualmente con 254 planteles, estamos presentes en las 32 entidades federativas; además, es la institución más grande de América y Europa actualmente con 574 mil estudiantes, más de 30 mil docentes y mil 670 integrantes del Sistema Nacional de Investigadoras e Investigadores.",0.0,69,23,10,2024
RAMON JIMENEZ LOPEZ,"Para el año 2030 se incrementarán los cuerpos académicos de 939 a mil 500, hay mucho entusiasmo de los docentes del Tecnológico Nacional de México en áreas… Son actualmente 50 ingenierías y licenciaturas, y 135 posgrados.",0.0,36,23,10,2024
RAMON JIMENEZ LOPEZ,"Por otro lado, el Tecnológico Nacional de México virtual, modalidad no escolarizada y mixta, para el 2030 incrementará de 26 mil a 70 mil estudiantes, y en el gran total tenemos proyectado el crecimiento de la matrícula que actualmente es de 574 mil a 660 mil estudiantes para el 2030, es decir, de acuerdo a las indicaciones de la presidenta de nuestro país, 86 mil estudiantes más.",0.0,67,23,10,2024
RAMON JIMENEZ LOPEZ,Pues de mi parte es todo. Muchas gracias.,0.0,8,23,10,2024
