Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RAUL ARMANDO JIMENEZ VAZQUEZ," Con mucho gusto. Con su venia señora Presidenta. Un honor. Buenos días a todos, todas, quienes están presentes en esta Mañanera.",0.0,21,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,"Habría que decir muy rápidamente que el tema tiene que ver con una cuestión que está causando mucha confusión, mucho ruido mediático, y se presta a distorsiones de carácter ideológico. Y esta noción fundamental del Derecho constitucional se llama “supremacía constitucional”.",0.0,41,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,¿Qué es la supremacía constitucional?,0.0,5,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,"Habrá que decir, en palabras llanas, que es una categoría jurídica de carácter superior que tiene carta de naturalización, que tiene hondas raíces en la teoría, en la doctrina jurídica, en la interpretación judicial y en nuestro artículo 133 constitucional.",0.0,40,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,¿Qué quiere decir “supremacía constitucional”?,0.0,5,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,"Quiere decir que la Constitución, la Carta Magna, es el texto fundante del orden jurídico mexicano, federal, estatal y municipal. La Constitución tiene supremacía porque justamente impera absolutamente y está por encima de todas las disposiciones constitutivas de la pirámide normativa del Derecho nacional.",0.0,44,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,"Ahora bien, la Constitución no puede ser una Carta Magna inerte, impávida, absolutamente desertora de los procesos constitutivos de la dinámica social. Tiene que seguir esa dinámica social, es decir, debe admitir la posibilidad de reformas o adiciones que permitan hacer el ejercicio de adecuación, alineamiento, con los procesos sociales y, sobre todo, con las demandas imperativas de las mayorías populares del país.",0.0,63,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,"Y esta idea de que “la Constitución tiene supremacía, pero que debe admitir un mecanismo de reformas o adiciones”, fue sabiamente prevista por el histórico, el grandioso, el maravilloso Constituyente de Querétaro de 1917. Y a este respecto, nos dejó el instrumento y el procedimiento para llevar a cabo esa adecuación del texto constitucional a los cambios sociales, a los imperativos que demandan fundamentalmente las mayorías populares de nuestro país.",0.0,70,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,"Y así fue como en el artículo 135 de nuestra Carta Magna, que no ha sufrido modificación alguna desde su promulgación el 5 de febrero de 1917, se consagran el órgano y el procedimiento para llevar a cabo reformas o adiciones a la Carta Magna.",0.0,45,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,"El órgano, bien lo sabemos, es el llamado Constituyente Permanente, es decir, el Poder reformador de la Constitución; y el procedimiento previsto ahí mismo, en el artículo de referencia 135, es el procedimiento complejo que vincula, que conecta y articula al Congreso de la Unión, a través de mayorías calificadas y a las legislaturas de los estados mediante la conjugación de la mayoría simple.",0.0,64,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,"Ya una vez que las reformas o adiciones se han producido y se ha hecho su publicación oficial, a través del Diario Oficial de la Federación, estas pasan a formar parte íntegra, inescindible, inseparable, del texto constitucional.",0.0,37,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,"Y eso, justamente ha ocurrido, y está ocurriendo, con las reformas constitucionales promovidas por el gobierno de nuestra Cuarta Transformación.",0.0,20,31,10,2024
RAUL ARMANDO JIMENEZ VAZQUEZ,"Y eso, sin duda alguna, va a ocurrir con la reforma trascendental a los artículos 105 y 107 constitucional. Cuando ello ocurra, que será en un breve lapso en virtud de que el Poder reformador de la Constitución esté en la etapa final, es decir, en la aprobación por la mayoría de las legislaturas estatales, habrá de ocurrir en las próximas horas, cuando ello suceda y se publique el decreto de reformas en Diario Oficial, esas reformas y adiciones 105 y 107 constitucionales serán parte inseparable de la Constitución, serán texto constitucional, figurarán como normas interactivas y de cumplimiento absoluta y definitivamente imparable.",0.0,103,31,10,2024
