Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Muchas gracias, gobernador.",0.0,3,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Gracias, Joaquín.",0.0,2,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,Laura.,0.0,1,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," El día de ayer tuvimos una reunión. Es importante para quienes nos ven, nos escuchan en Guerrero y en Oaxaca, estamos fortaleciendo la apertura de caminos, particularmente tanto en la sierra como en La Montaña de Guerrero, en donde todavía hay algunas poblaciones aisladas; entonces, que sepan, está trabajando ahí el gobierno del estado, y ayer tomamos algunas acciones para que Secretaría de Infraestructura, Comunicaciones y Transportes pueda apoyar de tal manera que en esta misma semana puedan abrirse todos los caminos.",0.0,82,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Pues, eso sería de protección civil.",0.0,6,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,Omar.,0.0,1,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Bueno, esta es, de manera muy breve, obviamente para que puedan, podamos explicar con más detalle de acuerdo a las preguntas que nos hagan.",0.0,24,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Lo primero, que es muy importante, es: no va a regresar la guerra contra el narco, de Calderón. No buscamos ejecuciones extrajudiciales, que era lo que ocurría. Nosotros, ¿qué vamos a usar? Prevención, atención a las causas, inteligencia y presencia en esta estrategia de cuatro ejes. Atención a las causas. Está aquí Esthela.",0.0,53,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,¿Qué vamos a hacer adicional a lo que venía haciendo el presidente Andrés Manuel López Obrador?,0.0,16,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,En la Ciudad de México hicimos un programa que se llamó Barrio Adentro.,0.0,13,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,¿En qué consistía?,0.0,3,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,Todas las secretarías del gobierno de la ciudad se sumaron para ir a tocar casa por casa en los polígonos de mayor índice delictivo.,0.0,24,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,¿Qué objetivo tenía esto?,0.0,4,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Atender de manera integral a las familias. Si los niños y las niñas no iban a la escuela por alguna razón, resolvíamos ese problema; si el joven, la joven, no estaba yendo a la preparatoria, lo llevábamos a la preparatoria con la beca; si no tiene universidad o no tenía trabajo, le encontrábamos trabajo. Es decir, una estrategia integral focalizada que nos permita atender de manera integral a las familias y evitar que las y los jóvenes se incorporen a un grupo delictivo.",0.0,83,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Se mantiene Jóvenes Construyendo el Futuro, Jóvenes Escribiendo el Futuro, los trabajos de cultura que había, de semilleros, pero además estamos fortaleciendo este programa.",0.0,24,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Las secretarías del Gobierno de México van a apoyar, completas. Por ejemplo, la Secretaría de Gobernación nos va a ayudar en Guanajuato para que, en las zonas de mayor índice delictivo, junto con Prevención, con Trabajo, con Secretaría del Trabajo y otras secretarías, vayan completas a apoyar a la población y poder ampliar las capacidades para rescatar a las y a los jóvenes de grupos delincuenciales o de la violencia o de las adicciones, que Guanajuato es el estado de la República con mayor número de adicciones.",0.0,87,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"¿Por qué no me ponen la gráfica, pero no por 100 mil habitantes, sino totales, homicidios totales en todo el año? Guanajuato es, por mucho, el estado con mayor número de homicidios, pero es también el estado con más jóvenes con adicciones. León, Guanajuato, increíblemente es el municipio con mayor número de pobres en el país; es el estado donde el salario medio es menor que el salario mínimo; entonces, evidentemente hay un modelo de desarrollo que fracasó.",0.0,78,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,¿Qué vamos a hacer?,0.0,4,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Vamos a apoyar. Ya una parte la venía haciendo el gobierno del presidente López Obrador, pero nosotros vamos a fortalecer esta parte de atención a las causas. Eso es lo primero.",0.0,31,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,Y el año que entra ya entraremos con algunos recursos adicionales para estos programas.,0.0,14,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Dos, consolidación de la Guardia Nacional. La Guardia Nacional ya es parte de la Secretaría de la Defensa Nacional y el general secretario tiene un programa muy claro de consolidación y fortalecimiento de la Guardia, que permita fortalecer sus capacidades con su propia comandancia, pero es una virtud que esté hoy en la Secretaría de la Defensa Nacional.",0.0,58,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Les pongo algunos beneficios que tienen los elementos de la Guardia Nacional o las participantes de la Guardia Nacional: tienen acceso a los servicios de seguridad social del Ejército; tienen la capacitación que reciben los elementos del Ejército, tienen su propia carrera; los mandos son oficiales que están capacitados para ello, es decir, se está consolidando una institución.",0.0,58,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Si no hubiera quedado en la Secretaría de la Defensa Nacional y hubiera quedado en manos exclusivamente de lo que decidiera el siguiente presidente o presidenta, pues entonces… Como fue con la Policía Federal, que cambiaron los mandos de acuerdo a los amigos que tenían los secretarios en turno que entraban por si venían de algún lugar. No, aquí es una institución con sus propios oficiales, mandos consolidándose. Entonces, vamos a consolidar la Guardia Nacional y su vinculación con la Secretaría de la Defensa Nacional y la Secretaría de Marina que permita la colaboración en distintas áreas, ahí donde se requiere.",0.0,101,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Lo tercero, inteligencia e investigación, ahí es donde vamos todavía a fortalecer más. Se crea el sistema nacional. Hoy vamos a firmar la iniciativa para enviarla al Congreso para que haya coordinación de los sistemas de seguridad de la Defensa, de la Marina, de la Guardia Nacional y de la propia Secretaría de la Seguridad Ciudadana.",0.0,56,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y, finalmente, la coordinación con la Fiscalía General de la República, la coordinación con los estados, con los fiscales estatales y las secretarías de seguridad estatales.",0.0,26,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Esta es la gráfica. Fíjense el rojo: Guanajuato, Baja California, Estado de México, Chihuahua y Jalisco. Entonces, Guanajuato, evidentemente. Y, además, sigue siendo el primer lugar en homicidios dolosos en el país.",0.0,32,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"La gobernadora se va a reunir con el secretario de Seguridad. Pero es muy importante, ustedes saben todos los problemas del fiscal; se queda, parece, hasta enero, pero ya el secretario va a platicar con la gobernadora, del tema de la seguridad en Guanajuato, pero vamos a apoyar de manera integral.",0.0,51,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Bueno, esta es la Estrategia Nacional de Seguridad y evidentemente se lleva en los gabinetes de seguridad.",0.0,17,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, ahora sí contestamos sus preguntas. ¿Otra vez hubo tómbola?",0.0,10,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Todos los días. Bueno, a ver aquí.",0.0,7,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Hay que recordar el tema de Sinaloa, ¿eh?, solamente, cómo es que Sinaloa tiene este incremento en los homicidios. A la fecha, lo que nos informó el propio presidente Andrés Manuel López Obrador y lo que tenía la Secretaría de la Seguridad. Todavía no se recibe la información suficiente por parte del gobierno de Estados Unidos de esa detención, que se sigue solicitando. Se va a reunir el secretario de Relaciones Exteriores con el embajador, el embajador va a la cancillería, y es uno de los temas, que se dé la información.",0.0,92,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"No hay investigación en este momento, no hay ninguna prueba en contra del gobernador Rocha.",0.0,15,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y también aprovecho para decir que la gobernadora Evelyn Salgado tiene todo nuestro apoyo, todo nuestro apoyo, y que vamos a apoyarla tanto en temas de protección civil, de todo lo que requiera, incluido también el tema de seguridad.",0.0,39,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"A ver, por acá, porque hubo este… A ver, acá, aquí primero.",0.0,12,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Se va a apoyar en lo que se requiera, pero nosotros respetamos hasta ahora la autonomía universitaria. Ayer solicitaron una reunión con la secretaria de Gobernación; se va a reunir, pero no queremos ahora —la federación— intervenir en la universidad, no se trata de eso; más bien es coadyuvar, si hay diferencias, a que se solucionen, que es la tarea que tiene la Secretaría de Gobernación.",0.0,66,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Lo que hay en el país es democracia. Dicen que no es suficiente decir la frase de Lincoln, que dice que la democracia es el poder del pueblo, por el pueblo y para el pueblo. Pero en el país hay democracia y hay libertades: la gente puede manifestarse. Hay libertad de prensa; hay libertad de expresión; hay libertad de reunión; hay libertad de manifestación; hay libertad para poder debatir; hay libertades y no hay pensamiento único, no hay. Nosotros no pedimos que todo mundo piense como la presidenta, imagínense, sería… eso sería dictadura. Lo que hay es un 60 por ciento de los votantes que votaron por una opción, por un proyecto de gobierno; por un proyecto de nación, más allá de un proyecto de gobierno.",0.0,126,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y nosotros también tenemos que respetar la voluntad popular. Entonces, la voluntad popular estableció, por ejemplo, que hubiera elección de jueces, magistrados y ministros. Se cambió la Constitución porque así lo quiso el pueblo; el pueblo no hubiera votado de esa manera si no se hubieran querido las reformas que se plantearon, que lo planteamos durante toda la campaña. Entonces, hay una voluntad.",0.0,63,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Antes se hicieron reformas constitucionales, pues que fueron en contra de la voluntad popular; entonces, ahora hay una voluntad que establece una serie de reformas constitucionales y un proyecto de nación. Se vota no solamente por la persona, sino por un proyecto de nación.",0.0,44,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, nosotros tenemos la responsabilidad —como presidenta y como gobierno— de cumplir con lo que ofrecimos, con los compromisos que establecimos; entre otros, la construcción de la paz y la seguridad, y por eso presentamos el proyecto completo.",0.0,38,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Ahora que hay manifestaciones, qué bueno, qué bueno.",0.0,8,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Ayer estaba… Me pasaron un resumen de un programa de televisión —no voy a decir—, que yo soy muy autoritaria porque ahora no hablo de la oposición. Entonces, si se habla de la oposición, porque hablas de la oposición; si no se habla, porque no se habla. O sea, hay personas que no van a estar de acuerdo, y no pasa nada.",0.0,62,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Qué bueno que haya personas que no estén de acuerdo y que lo puedan manifestar libremente en un programa de televisión, en un programa de radio, pero nosotros tenemos que cumplir con un proyecto de nación al que nos comprometimos.",0.0,40,8,10,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, estos cuatro ejes de seguridad los planteamos en campaña, los vamos a conservar durante todo el gobierno y los vamos a consolidar, y vamos a disminuir los delitos de alto impacto, van a disminuir, porque hay una estrategia y se va a cumplir.",0.0,44,8,10,2024
