Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANDRES LAJOUS LOAEZA," Buenos días a todas y todos. Con su permiso, señora presidenta. Si me pueden poner la presentación, por favor.",0.0,19,9,10,2024
ANDRES LAJOUS LOAEZA," Buenos días. Como les comentaba, voy a presentar primero un poco de contexto sobre la reforma constitucional al artículo 28 que se aprobó el día de ayer en la Cámara de Diputados.",0.0,32,9,10,2024
ANDRES LAJOUS LOAEZA,"Recordarán que, a inicios del siglo XX, en 1908, se creó Ferrocarriles Nacionales de México, pero en 1937 es un hito muy importante porque el general Lázaro Cárdenas hizo la nacionalización de Ferrocarriles Nacionales de México, esto quiere decir que la mayor parte del siglo XX operó una empresa pública estatal los servicios de pasajeros y los servicios de carga en nuestras vías ferroviarias.",0.0,64,9,10,2024
ANDRES LAJOUS LOAEZA,A partir de 1995 se hizo una reforma con la que inició el proceso de privatización de trenes; esto implicó la desaparición de los trenes de pasajeros y el predominio de los trenes de carga.,0.0,35,9,10,2024
ANDRES LAJOUS LOAEZA,"A partir de 2018 inició la recuperación del servicio de pasajeros con el presidente López Obrador y tenemos, digamos, como ejemplo, los servicios del Tren Maya, del tren Istmo de Tehuantepec y el tren ‘El Insurgente’ que están operando.",0.0,39,9,10,2024
ANDRES LAJOUS LOAEZA,"Hace poquito más de un año, en 2023, se inició ya este proceso en donde se publica en el Diario Oficial de la Federación la declaratoria en donde el transporte ferroviario de pasajeros se vuelve un área prioritaria del Estado mexicano, lo cual culmina con la aprobación en la Cámara de Diputados de la reforma al artículo 28 de la Constitución Política de los Estados Unidos Mexicanos, donde se establece ya el servicio de pasajeros ferroviario como un área prioritaria del Estado. Ahorita les voy a explicar qué quiere decir eso.",0.0,91,9,10,2024
ANDRES LAJOUS LOAEZA,"Entonces, como les mencionaba, tenemos en operación hoy servicios de pasajeros desde que iniciaron en la administración del presidente López Obrador; como pueden ver, ya los conocen, es el tren del Istmo de Tehuantepec, el tren ‘El Insurgente’ y el Tren Maya. Justamente esta es una imagen del tren del Istmo de Tehuantepec, que da servicio de pasajeros, no sólo servicio de carga.",0.0,63,9,10,2024
ANDRES LAJOUS LOAEZA,"Esto permitió que, actualmente, 7.55 por ciento del total de las vías en operación se utilicen para el servicio de transporte de pasajeros. Lo que hace la reforma constitucional es que recupera para el Estado, que pueda ser operado por entidades públicas los 18 mil kilómetros del servicio de pasajeros, no sólo los que ya están operando.",0.0,57,9,10,2024
ANDRES LAJOUS LOAEZA,"Voy a leer solamente la parte que constituye la modificación que se aprobó a la Constitución Política, que es relevante para el servicio de pasajeros:",0.0,25,9,10,2024
ANDRES LAJOUS LOAEZA,"‘La comunicación vía satélite y los ferrocarriles, tanto para transporte de pasajeros como de carga, son áreas prioritarias para el desarrollo nacional en los términos del artículo 25 de esta Constitución.’",0.0,31,9,10,2024
ANDRES LAJOUS LOAEZA,La que sigue.,0.0,3,9,10,2024
ANDRES LAJOUS LOAEZA,"‘El Estado, al ejercer en ella su rectoría, protegerá la seguridad y soberanía de la nación, y al otorgar asignaciones, concesiones o permisos, mantendrá o establecerá el dominio a las respectivas vías de comunicación, de acuerdo con las leyes de la materia.",0.0,42,9,10,2024
ANDRES LAJOUS LOAEZA,"‘El Estado mexicano retoma el derecho de utilizar las vías ferroviarias para prestar el servicio de transporte de pasajeros. Para ello, el Ejecutivo federal podrá otorgar asignaciones a empresas públicas o concesiones a particulares.’",0.0,34,9,10,2024
ANDRES LAJOUS LOAEZA,¿Esto qué quiere decir?,0.0,4,9,10,2024
ANDRES LAJOUS LOAEZA,Que la reforma eleva a rango constitucional la preferencia para la prestación del servicio público de transporte ferroviario para pasajeros como área prioritaria para el desarrollo nacional.,0.0,27,9,10,2024
ANDRES LAJOUS LOAEZA,"Que con estas reformas se busca la implementación de trenes de pasajeros sobre el derecho de vía existentes, sin afectar el servicio público al transporte ferroviario de carga.",0.0,28,9,10,2024
ANDRES LAJOUS LOAEZA,"Y el gobierno federal podrá otorgar a entidades públicas, estados, municipios y entidades paraestatales de la Administración Pública Federal o a empresas privadas una concesión para el servicio público de transporte ferroviario de pasajeros.",0.0,34,9,10,2024
ANDRES LAJOUS LOAEZA,"Esto quiere decir, como decía, que recupera el Estado la posibilidad de que se operen públicamente estas vías con un servicio de transporte de pasajeros.",0.0,25,9,10,2024
ANDRES LAJOUS LOAEZA,"La reforma también lo que hace es impulsar esta recuperación, como lo hicieron la puesta en servicio durante los últimos seis años de trenes de pasajeros, lo cual, para las y los usuarios de este tipo de servicios que tienen necesidad de transportarse, implica mayor seguridad, mejor calidad de vida, reducción en la huella de carbono en sus viajes, reducción de accidentes. Y esto es muy importante, muchas comunidades quedaron aisladas a partir de la privatización, porque son comunidades que estaban conectadas al resto del país a través del servicio de pasajeros, y que cuando se volvieron sólo servicios de carga dejaron de estar conectadas; esto permite recuperar la conectividad de estas comunidades.",0.0,113,9,10,2024
ANDRES LAJOUS LOAEZA,Con el presidente López Obrador se pusieron en operación dos mil 240 kilómetros del servicio ferroviario para pasajeros. En la administración de la presidenta Claudia Sheinbaum se pondrán en servicio más de tres mil kilómetros de vías ferroviarias para trenes de pasajeros.,0.0,42,9,10,2024
ANDRES LAJOUS LOAEZA,Muchas gracias.,0.0,2,9,10,2024
