Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA,"Yo le tengo tres preguntas. A propósito de lo que hoy se anuncia, relacionado a la energía, ¿en Durango cuándo se estaría consolidando lo de la electrificación en las comunidades indígenas? Usted estuvo presente este fin de semana. Son 5 mil comunidades, es un reto, me parece que no sencillo, pero sí es necesario, las comunidades indígenas presentan de manera recurrente apagones.",0.0,62,13,11,2024
PREGUNTA,"Y, por otra parte, relacionado a la energía, si ¿a Durango lo contemplaría dentro de los proyectos de energías limpias? En su momento, se comenzaron a desarrollar huertos solares, por la extensión territorial y el cómo pega el sol, pero se suspendieron. No sé si, ¿contemplaría también a Durango en los proyectos de energías limpias?",0.0,55,13,11,2024
PREGUNTA,"Me gustaría también aprovechar este espacio para preguntarle sobre el tema de inseguridad en Sinaloa. La verdad es que nos está preocupando a los duranguenses por varios incidentes que se han registrado en municipios aledaños, como Tamazula y Santiago Papasquiaro, donde avionetas han arrojado bombas.",0.0,45,13,11,2024
PREGUNTA,Yo incluso estuve presente en la comunidad de Vascogil entrevistando a los habitantes. Ellos calificaban estos atentados como “actos terroristas” y pedían incluso la intervención de usted para atender esta necesidad de que no se estén pasando los enfrentamientos de Sinaloa a Durango.,0.0,43,13,11,2024
PREGUNTA,"Finalmente, también me gustaría preguntarle si, ¿en su sexenio se estaría consolidando la presa Tunal II? Es un proyecto que en Durango requerimos para mejorar la calidad del agua, el abastecimiento, pero también es un tema de seguridad, porque nos hemos inundado con el desbordamiento de la Guadalupe Victoria.",0.0,49,13,11,2024
PREGUNTA,Gracias.,0.0,1,13,11,2024
PREGUNTA, Los Reporteros Mx.,0.0,3,13,11,2024
PREGUNTA,"Mi primera pregunta sería una denuncia que ha estado circulando en redes sociales. Y dado a que usted es bastante atenta a lo que sucede en redes, seguramente, probablemente, ya lo haya visto.  Se trata de un caso de acoso sexual en el Poder Judicial del estado de Puebla.",0.0,49,13,11,2024
PREGUNTA,"La abogada Paloma Corte, quien radica en el estado de Puebla, quien trabaja allá, pues fue a las oficinas del Poder Judicial a realizar unos trámites, papeleo y demás. Y en la ventanilla, en el reflejo del vidrio logra ver qué es lo que pasa en la parte de atrás de una persona, y nota que un adulto, casi adulto mayor, le está grabando con su celular, de tal manera que es un video, no de manera convencional, sino en ciertas partes de su cuerpo. Y al darse la vuelta y al confrontarlo, corrobora que, en efecto, estaba habiendo una grabación de su cuerpo.",0.0,104,13,11,2024
PREGUNTA,"Grita, alarma a los auxiliares de la zona. Y el hombre en cuestión, al darse cuenta de que ha sido atrapado, trata de borrar los videos de manera inmediata. Y cuando uno se mete a la galería a tratar de borrar los videos, pues se ve un preview de todo el resto de las imágenes y los videos, en donde se ve a otras mujeres, incluidas menores de edad, también siendo grabadas sin el consentimiento de esta persona.",0.0,78,13,11,2024
PREGUNTA,"El agresor en cuestión se trata de Roberto Medina Torres. Y naturalmente la abogada Paloma Corte procede contra esta persona, pasan las horas y resulta que un elemento de Comunicación Social del Poder Judicial de Puebla se le acerca a la abogada para tratar de que el tema no pase a mayores.",0.0,52,13,11,2024
PREGUNTA,"Y enseguida, se suma una segunda persona, que se identifica como Blanca Laura Oliver Palacios, ella es jueza del estado de Puebla y es la esposa del agresor. Citando las palabras textuales de la abogada para Reporteros Mx declaró que la jueza Blanca Laura Oliver Palacios mencionó que “no es la primera vez que pasa este asunto con su marido y que, entre otras cosas, lo que busca es la reparación del daño y que no pase a mayores, que no explote”.",0.0,82,13,11,2024
PREGUNTA,"Y al escuchar esto, la abogada Paloma Corte decide seguir con el caso; que si ya ha pasado antes, pues el punto es que ya no siga pasando. Va a la fiscalía y la fiscalía del estado de Puebla sigue revictimizándola, la pone en la misma sala, en la misma habitación con el agresor durante un periodo de cinco, siete horas, a tan solo una distancia como la que tengo usted y de un servidor.",0.0,75,13,11,2024
PREGUNTA,"Y hasta el momento no ha habido respuesta de la Fiscalía, no ha habido avances, también teme naturalmente las influencias que puede tener una familia ligada al Poder Judicial. Y pues pide, desde luego, el auxilio del Estado mexicano en consecuencia con lo que se ha visto, por ejemplo, en otras partes con la Secretaría de la Mujer, a cargo de Citlalli Hernández.",0.0,63,13,11,2024
PREGUNTA,"Comentarle el caso y expresarle que pide la ayuda de la Presidenta de la República para que no quede en impunidad este asunto, Presidenta.",0.0,24,13,11,2024
PREGUNTA,"Cambiando radicalmente de tema, hoy es 13 de noviembre y…",0.0,10,13,11,2024
PREGUNTA, Bloomberg Línea.,0.0,2,13,11,2024
PREGUNTA,"Tengo varias preguntas sobre el tema de Pemex. Quisiera comenzar con, ¿cuánto ahorrará en total Pemex con esta simplificación de derechos filiales y subsidiarias? Y, ¿cómo van a compensar esto desde los ingresos presupuestales? A lo mejor el subsecretario nos podría dar un par de detalles sobre eso.",0.0,48,13,11,2024
PREGUNTA,"¿Y cuándo estarían listas? ¿Cuándo estaría operando a su máxima capacidad la refinería de Dos Bocas y las coquizadoras? ¿Cuándo estarían listas? Estaban planeadas para este año, pero parece que hay algunos retrasos.",0.0,33,13,11,2024
PREGUNTA, Posta Ciudad de México.,0.0,4,13,11,2024
