Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOSE ANTONIO PEÑA MERINO," Buenos días. Con su permiso, Presidenta.",0.0,6,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Les queremos contar un poco de qué va la Agencia de Transformación Digital y de Telecomunicaciones, las agendas de algunos de los proyectos con los que estamos iniciando o iniciaremos nuestra actividad.",0.0,32,14,11,2024
JOSE ANTONIO PEÑA MERINO,"El motivo o los motivos centrales que dan nacimiento a la Agencia, y como lo ha mencionado la Presidenta varias veces, es unificar las capacidades tecnológicas del gobierno federal para su mejor aprovechamiento, generar autonomía tecnológica, de modo que las soluciones de tecnología del gobierno se generen dentro del propio gobierno, y eso, por supuesto, implica austeridad, es decir, ahorros presupuestales.",0.0,61,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Y esta es la misión, digamos, central que motiva mucho de lo que queremos hacer: entender que la tecnología pública sirve para que las personas accedan con mayor facilidad a lo que tienen derecho; es decir, tiene una motivación de utilidad pública y de cerrar brechas de acceso entre la población.",0.0,51,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Entonces, nuestro trabajo se guiará a partir de siete puntos centrales, y ya iré detallando algunos de estos:",0.0,18,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Lo que existe presencialmente, es decir, un trámite que existe de manera presencial puede también existir de manera digital, y es nuestra tarea habilitar que esto ocurra.",0.0,27,14,11,2024
JOSE ANTONIO PEÑA MERINO,Reducir al mínimo la carga regulatoria sobre personas y empresas.,0.0,10,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Generar ahorros, como lo mencioné; a la vez, cerrar también espacios de oportunidad de corrupción y, por supuesto, que los sistemas públicos, los sistemas de información, puedan hablarse entre sí, de modo que podamos habilitar y generar servicios digitales.",0.0,39,14,11,2024
JOSE ANTONIO PEÑA MERINO," Oportunidad para la cero corrupción, exactamente.",0.0,6,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Un solo número de atención ciudadana que resuelva todos los problemas que no sean emergencias —emergencias, sabemos, es el 911— todos los días y a toda hora.",0.0,27,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Inteligencia de datos, es decir, análisis de datos para fortalecer capacidades públicas.",0.0,12,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Autonomía tecnológica, generar nosotros soluciones propias, y que esas soluciones las tengan en resguardo adecuado en términos de seguridad.",0.0,19,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Y un principio central, que el internet en México es un derecho.",0.0,12,14,11,2024
JOSE ANTONIO PEÑA MERINO,Y esto descansa sobre sobre dos pilares en términos organizacionales:,0.0,10,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Uno, el pilar de Transformación Digital; en donde estamos es un área principalmente centrada a cuidar los productos que tienen una salida ciudadana.",0.0,23,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Simplificación, de manera muy importante.",0.0,5,14,11,2024
JOSE ANTONIO PEÑA MERINO,Digitalización.,0.0,1,14,11,2024
JOSE ANTONIO PEÑA MERINO,Llave MX.,0.0,2,14,11,2024
JOSE ANTONIO PEÑA MERINO,"El Centro de Atención del Bienestar, que es el número único.",0.0,11,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Dictaminación tecnológica, esto es muy importante. Las adquisiciones de tecnología tienen que pasar por una aprobación de la Agencia, de modo que se eviten contratos abusivos, sobrecostos, y que se garantice que lo que se adquiera pueda a la vez ser reutilizado y se hable con sistemas existentes. Y esa es un área que está a cargo justamente de Norma Solano.",0.0,61,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Y un área que nosotros entendemos como habilitadora, que se llama “Infraestructura Pública Digital”, que es realmente donde están los fierros, digamos, ¿no?, es la fábrica de software , en donde hay un equipo de desarrolladores que ahorita les voy a explicar.",0.0,42,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Infraestructura tecnológica, ¿no?, los centros de datos, las redes locales.",0.0,10,14,11,2024
JOSE ANTONIO PEÑA MERINO,El área de análisis de datos.,0.0,6,14,11,2024
JOSE ANTONIO PEÑA MERINO,Ciberseguridad.,0.0,1,14,11,2024
JOSE ANTONIO PEÑA MERINO,Y política de telecomunicaciones.,0.0,4,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Y un poco para que entiendan ustedes cómo tiene sentido, porque este es un modelo realmente único en el mundo en términos de organización y de unificar bajo un solo lugar todas las capacidades de infraestructura tecnológica, esto lo que crea es un sistema de soluciones tecnológicas, ¿no?",0.0,48,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Al final, realmente lo más importante es el producto final que nosotros podemos entregar a las mexicanas, mexicanos para poder interactuar con autoridades y resolver trámites y acceder a derechos. Entonces, esto tiene tres grandes momentos.",0.0,36,14,11,2024
JOSE ANTONIO PEÑA MERINO,"El primer momento es el de habilitadores, que eso está mucho más centrado en el tema de infraestructura digital: ciberseguridad, la fábrica de software, el análisis de datos.",0.0,28,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Luego, hay un área mucho más pensada como en términos de producción, pensémoslo así, que es simplificación y digitalización que es en donde se generan estos servicios digitales.",0.0,28,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Y en el centro de esto, está Llave MX como el mecanismo de identidad digital.",0.0,15,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Pero a la vez, estos habilitadores no solo sirven para lo que nosotros producimos, también sirven para lo que otras autoridades de la Administración Pública Federal producen; la Agencia, como fue el caso de la Ciudad de México, es un área que interactúa permanentemente con todas las autoridades y recibe requerimientos de todas las autoridades, ahorita voy a abundar un poquito más en eso.",0.0,64,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Y queremos, además, expandir, por supuesto, este modelo a estados y municipios mediante el Centro Nacional de Tecnología Pública. Ha habido ya un acercamiento de muchos estados, con los que ya empezamos a hablar, que ya tienen incentivos y proyectos propios, y que nosotros buscamos acompañar y fortalecer.",0.0,48,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Y al final, por supuesto, generar soluciones ciudadanas y atención ciudadana.",0.0,11,14,11,2024
JOSE ANTONIO PEÑA MERINO,Y dos acotaciones:,0.0,3,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Lo primero, la política de Telecomm, que hoy tiene la Secretaría de Infraestructura, Comunicaciones y Transportes entre sus atribuciones que pasarían a la Agencia, es el piso que permite poder hacer que esto tenga adopción entre la población, que se cierren brechas de desigualdad en acceso.",0.0,46,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Y Correos, que estaría sectorizado también a la Agencia, en donde lo que buscamos es acompañar en lo que se nos requiera, sobre todo, para fortalecer la parte logística de esta institución.",0.0,32,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Un muy breve paréntesis. La Presidenta lo ha anunciado varias veces, la sustitución de la Ley General de Mejora Regulatoria por la Ley de Simplificación y Digitalización, y les quiero explicar muy rápido algunos puntos que está ley abordará:",0.0,39,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Uno, reducción de trámites, requisitos y tiempos de solución, que realmente es su propósito.",0.0,14,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Dos, eliminación de barreras para el bienestar social, barreras burocráticas para el bienestar social y la prosperidad económica.",0.0,18,14,11,2024
JOSE ANTONIO PEÑA MERINO,Homologación de procesos y requisitos entre autoridades y niveles de gobierno.,0.0,11,14,11,2024
JOSE ANTONIO PEÑA MERINO,Una política muy agresiva de digitalización.,0.0,6,14,11,2024
JOSE ANTONIO PEÑA MERINO,"Llave MX y Expediente Digital. Llave MX, además de ser un mecanismo de autenticación digital –que ahorita les voy a explicar–, tiene un expediente donde los documentos digitales que el gobierno genere, automáticamente se cargan en el expediente de cada persona que tenga Llave. Y cuando esta persona haga un trámite digital el documento digital simplemente se consulta o se jala desde este expediente digital, y no tenemos que andar cargando documentos, ni andar nosotros viajando de ventanilla en ventanilla, más bien los documentos viajan entre servicios que se hayan habilitado.",0.0,91,14,11,2024
