Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARTHA LUCIA MICHER CAMARENA," Buenos días, Presidenta.",0.0,3,15,11,2024
MARTHA LUCIA MICHER CAMARENA,"Estamos muy emocionadas, para nosotras, para las feministas y existencialistas, con esta gran prueba que tenemos en este país. Es un anhelo hecho realidad.",0.0,24,15,11,2024
MARTHA LUCIA MICHER CAMARENA,"Muchos años de empujar y empujar una agenda feminista, una agenda que contemplara la igualdad sustantiva, que no es lo mismo que la igualdad formal, la que está en la ley nada más, está plasmada en la ley; pero cuando las circunstancias, las condiciones que rodean a las mujeres aseguran la igualdad, y no discriminación y la igualdad de oportunidades, estamos hablando de otra situación para las mujeres, para las niñas, para las adolescentes.",0.0,74,15,11,2024
MARTHA LUCIA MICHER CAMARENA,"Y, por supuesto, hablar de la perspectiva de género, de ponernos estos lentes obligadamente para juzgar, para elaborar programas, presupuestos, acciones, pues asegura disminuir la brecha de desigualdad en el acceso al ejercicio de nuestros derechos.",0.0,36,15,11,2024
MARTHA LUCIA MICHER CAMARENA,"Y esto es histórico para nosotras, porque puede estar en una ley secundaria, pero en una Constitución creo que difícilmente podríamos hablar de algún otro país en Latinoamérica que lo tuviera.",0.0,31,15,11,2024
MARTHA LUCIA MICHER CAMARENA,"Estamos ya trabajando, por supuesto, en las leyes secundarias, en donde aseguraremos que las Fiscalías Especializadas, que la igualdad sustantiva esté en la Ley General de Acceso a una Vida Libre de Violencia, en la Ley de Igualdad, asegurando los nuevos conceptos que tenemos que integrar para que las mujeres accedan a una vida libre de violencias.",0.0,57,15,11,2024
MARTHA LUCIA MICHER CAMARENA,"Hablar de violencias es hablar de que una violencia viene siempre acompañada de otra, pero que esté en la Constitución es, de verdad, un anhelo histórico que le agradecemos desde el fondo de nuestro corazón feminista a nuestra líder feminista en este país.",0.0,43,15,11,2024
MARTHA LUCIA MICHER CAMARENA,"Todo esto es una extraordinaria iniciativa que nos envió la Presidenta, que ya se va a publicar.",0.0,17,15,11,2024
MARTHA LUCIA MICHER CAMARENA,"Y ahora en estas leyes secundarias, pues estaremos dándole “carnita” —si así se puede decir— a las Leyes de Igualdad; a la Ley de Acceso a una Vida Libre de Violencia; a la Ley Federal del Trabajo, donde hablaremos, por supuesto, de qué significa la brecha salarial, cuáles son las causas que originan esta brecha salarial, la violencia, la falta de oportunidades, hasta los lugares donde viven, el acceso a la educación, a los servicios, provocan esta brecha salarial por ser mujeres.",0.0,82,15,11,2024
MARTHA LUCIA MICHER CAMARENA,"Y esto es lo que no quiere ya, la Presidenta, y estamos trabajando sobre ello que, seguramente en los 16 días de activismo, Presidenta, se lo entregaremos a las mujeres en este país, a las mujeres, a las adolescentes y a las niñas.",0.0,43,15,11,2024
MARTHA LUCIA MICHER CAMARENA,"Muchas gracias, muchas gracias.",0.0,4,15,11,2024
