Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Bueno, pues está es la información el día de hoy.",0.0,10,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"–A ver, acá–.",0.0,3,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Pues México es un gran país, somos un gran país, y siempre la presencia de México es bien recibida en estos foros internacionales.",0.0,23,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Son espacios que ayudan a las reuniones bilaterales para hacer acuerdos. Y, además, la propia reunión del G20 que, en este caso, tuvo muchos invitados, países invitados que no son parte del G20; entonces en realidad, fue una reunión que se llama “multilateral” porque vienen muchos países, muy importante.",0.0,49,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Ahora, yo creo que lo más importante, y más en este momento, es el llamado a la paz. Y no solamente vino de México, sino de muchos países, particularmente de América Latina, pero también de otras regiones del mundo.",0.0,39,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"El documento que sale es un documento muy general que se venía trabajando desde antes. Nuestra propuesta tiene que ver con, fíjense, destinar el 1 por ciento. Son 2.4 billones de dólares que se destinaron en el 2023.",0.0,38,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Nosotros en México llamamos billones a los millones de millones, 12 ceros. En otros países esos son trillones; por ejemplo, en Estados Unidos se le dice trillones porque ellos no tienen los miles de millones. Entonces para quien lo mide de esa manera estamos hablando de 2.4 trillones de dólares.",0.0,50,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,México ya destina mil 700 millones de dólares; el próximo año van a ser cerca de 39 mil millones de pesos para el programa “Sembrando Vida”.,0.0,26,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y recuerden que estamos apoyando a través de AMEXCID a familias en Guatemala, El Salvador y Honduras para demostrar que cuando se apoya a las familias y se atiende a las causas disminuye la migración. Es una visión humanitaria.",0.0,39,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, la propuesta, el planteamiento es, 1 por ciento, solo el 1 por ciento, destinarlo a 6 millones de sembradores y sembradoras que van a permitir sembrar lo que representaría, por ejemplo, de tres a cuatro veces la superficie de Dinamarca o de tres países centroamericanos juntos.",0.0,47,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, es una propuesta que contiene una visión pacifista, una visión ambientalista y una visión de justicia social. Entonces, en esta reunión del G20 fue bien recibida y la idea es que el canciller lo pueda seguir promoviendo en otras reuniones multilaterales.",0.0,42,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Ahora, el llamado hoy, siempre es a la paz; a que los conflictos bélicos no resuelven nada, para eso está hecha la política internacional y los organismos internacionales. Entonces, pues es un llamado también a la paz que vino de muchos países.",0.0,42,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Fue una reunión importante, interesante y este llamado a la paz que también vino de la propia reunión del G20.",0.0,20,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Van a venir a La Mañanera el lunes, toda la Secretaría de Hacienda, para poder presentar las características de la Ley de Ingresos y el presupuesto que se está presentando, el paquete global que se está presentando.",0.0,37,20,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"El objetivo del presupuesto —que hoy, en efecto, el secretario de Hacienda lo presenta al Congreso— es seguir invirtiendo, garantizar todos los Programas de Bienestar: los que ya están en la Constitución, los que vienen en la Constitución, y los tres nuevos Programas de Bienestar.",0.0,45,20,11,2024
