Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTA CLAUDIA SHEINBAUM PARDO, 70 mil 787 millones de pesos,0.0,6,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO, Vamos con el “Detector de mentiras”.,0.0,6,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Muchas gracias. Nos acompaña también Carlos Torres, subsecretario de Bienestar, y quien nos ayuda también con todos estos datos que presentó Zoé Robledo.",0.0,23,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Bueno, vamos a las preguntas.",0.0,5,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,Adelante.,0.0,1,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Bueno, primero, lo hemos mencionado, nosotros respetamos y respetaremos, obviamente, la decisión del pueblo de Estados Unidos. A quien el pueblo de Estados Unidos elija, vamos a trabajar conjuntamente.",0.0,29,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Una vez que… Vamos a ver qué pasa mañana, quién obtiene la mayoría, si es que mañana hay un resultado o posteriormente Y nosotros, vamos a decidir… hasta que no se termine todo el proceso electoral de Estados Unidos, no nos vamos a manifestar, no a decidir, sino a manifestar, hasta que no termine todo el proceso electoral. Así debe ser, así lo hizo en su momento el Presidente López Obrador, y es la misma actitud que debe tomar el Gobierno de México. Entonces, va a ser de esa manera.",0.0,90,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Una vez que las instituciones estadounidenses electorales tomen su decisión respecto al próximo presidente o presidenta de los Estados Unidos, estaremos ya en contacto con el próximo presidente o presidenta.",0.0,30,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Estamos haciendo un trabajo muy importante y, además, lo hemos estado haciendo también con empresarios y empresarias, y queremos fortalecerlo todavía más, para demostrar la importancia que tiene el Tratado Comercial para los Estados Unidos. Es decir, el T-MEC no solamente beneficia a México, sino beneficia de manera muy importante a los Estados Unidos, esa fue la manifestación que tuvieron aquí en la reunión del 15 de octubre que tuvimos con varios empresarios y empresarias estadounidenses de la Cámara de Comercio.",0.0,81,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y este trabajo lo seguimos desarrollando porque es muy importante que se conozca cómo Estados Unidos, su economía, depende en mucho de la economía de México, y cómo el Tratado Comercial beneficia a Canadá, beneficia a Estados Unidos y beneficia también a México.",0.0,43,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Como lo dije desde la toma de posesión: el Tratado nos complementa, no hay competencia entre las naciones, entre nuestros países, sino al contrario, nos complementa.",0.0,26,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y vamos a continuar con los diálogos de alto nivel para los temas relacionados con nuestra relación, desde los temas de migración, el tema del fentanilo, que es un tema importante para Estados Unidos por razones humanitarias, diría yo; pero también otros temas que son importantes, como el tráfico de armas de Estados Unidos hacia México, y otros temas de la relación comercial y nuestra relación con el resto del continente americano.",0.0,72,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, va a haber buena relación, además de respetar la decisión del pueblo de los Estados Unidos en el momento que ya los órganos electorales hayan tomado su decisión definitiva, en ese momento estableceremos la relación, y estoy segura que va a haber una buena relación con Estados Unidos y buscaremos la mejor comunicación.",0.0,54,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Primero, de acuerdo con distintos constitucionalistas que trabajan cerca de nosotros y al mismo tiempo, con la propia consejera jurídica, formalmente deberían retrasar la decisión dada la publicación en el Diario Oficial del cambio constitucional, en donde el artículo o el inciso 1 del artículo 61 de la Ley de Amparo hoy es constitucional.",0.0,54,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Ese es el primer tema, vamos a esperar qué dice la Corte hoy o qué dice el día de mañana.",0.0,20,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Segundo, si ellos insisten en decidir el día de mañana, yo creo que vale la pena —y esto es muy importante— que todas y todos sepamos que quien está cometiendo una falta es la Corte, es muy importante que lo conozca el pueblo de México. Es decir, la Corte recibe un amparo de partidos políticos que no tienen personalidad jurídica, primer problema, para poder presentar estos amparos -segundo- porque son partidos políticos que, en todo caso, se rigen por las leyes electorales y en todo caso debería de ser ante el Tribunal Electoral del Poder Judicial de la Federación.",0.0,99,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Segundo. No podrían haberlo recibido, por lo que decía la Ley de Amparo, pero ahora que es constitucional el que el amparo no puede ser parte de la revisión de una reforma constitucional, pues deberían tomar esto en cuenta.",0.0,39,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y tercero. Ya fue publicada la reforma constitucional; entonces, están legislando sobre una reforma constitucional.",0.0,15,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"¿A quién le corresponden las reformas constitucionales? Al Legislativo, al Constituyente.",0.0,11,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"¿Quién es el Constituyente en México? Las dos terceras partes de la mayoría en la Cámara de Diputados, las dos terceras partes de la mayoría en la Cámara de Senadores y la mayoría de los Congresos locales, a ellos les corresponde cambiar la Constitución. Eso lo dice claramente la Constitución de la República. Lo que quiere hacer ahora la Corte es legislar, cambiar lo que ya es una resolución del Constituyente, es decir, la Corte se está sobrepasando sobre sus funciones.",0.0,81,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Yo no me quiero adelantar. Claro que tenemos un plan que no pone en riesgo nada, tenemos por supuesto un plan, sea que decidan a favor o que decidan en contra.",0.0,31,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"¿Quién está provocando un problema constitucional?, porque ni siquiera le quiero llamar “crisis”, porque así le llaman nuestros adversarios. ¿Quién lo está provocando? La Corte, porque ahora resulta que la Presidenta de la República, dicen que “está provocando una crisis constitucional”. O sea, ¿cómo?",0.0,44,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"De nuevo el recuento: el Presidente López Obrador envía una reforma a la Constitución el 5 de febrero de 2024, es parte de la discusión del proceso electoral. Se gana la elección y el número de diputados y senadores –esto es muy importante– lo decide el INE y el Tribunal Electoral, a partir de una fórmula, a partir de quienes ganaron la mayoría y de una fórmula que está establecida claramente en la Ley de Procedimientos Electorales, siguen el mismo procedimiento que se siguió en el 2021, en el 2018, en el 2015. Porque ya ven que hablan de la sobrerrepresentación, no. Se siguió lo que dice la ley: hay elecciones, gana la mayoría calificada, el movimiento del que somos parte, el movimiento de la Cuarta Transformación.",0.0,127,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,¿Qué hace el Congreso? Abre una discusión de más o menos un mes en todo el país por si hay alguna propuesta adicional sobre la que envió el Presidente. Llega el nuevo Congreso y vota la reforma constitucional; la Cámara de Diputados gana más de las dos terceras partes; la Cámara de Senadores gana dos terceras partes; y luego la mayoría de los Congresos estatales votan a favor de la reforma al Poder Judicial.,0.0,74,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Se valida la reforma constitucional en el Congreso, tal cual lo dice la Constitución; se lo envían al Presidente López Obrador para que lo publique en el Diario Oficial de la Federación; y lo publica el 15 de septiembre del 2024. Reforma constitucional publicada en el Diario Oficial siguiendo todas las reglas establecidas por la Constitución y las leyes.",0.0,59,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y la Corte, de pronto, con ocho ministros y ministras quiere cambiar lo que decidió el pueblo de México, lo que decidió el Constituyente.",0.0,24,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,Todavía ayer el ministro Juan Luis González Alcántara dice: “Es que queremos una negociación”. ¿Con quién quieren una negociación? ¿Con la Presidenta? Si la Presidenta lo único que hace es publicar en el Diario Oficial lo que decide el Constituyente.,0.0,40,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,¿Estamos de acuerdo? Estamos de acuerdo.,0.0,6,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Pero el Constituyente podía haber decidido otra cosa. Si ya es reforma constitucional, ya es parte de la Constitución, y ahora, estos ocho ministros y ministras de la Corte, ocho; y uno de ellos que siente que tiene la atribución para cambiar la Constitución. O sea, ¿cómo?, ¿cómo? ¿Quién está poniendo en duda la reforma constitucional? Un ministro de la Corte.",0.0,61,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, por eso, yo nuevamente digo: Vamos a esperar a ver qué dice la Corte y cómo votan; a ver si las y los ocho ministros, que no pueden estar por encima del pueblo de México, que no pueden estar por encima del Constituyente, que está también representando al pueblo de México, deciden.",0.0,53,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Si votan todos a favor del proyecto del ministro González Alcántara… Que, por cierto, en su casa fue donde se llevó a cabo la ilegal reunión con el presidente del PRI; ya dijo que “él no estaba”, pues sí, pero fue en su casa. Bueno, este ministro, que, la verdad, con todo respeto: ¿dónde quedaron sus principios constitucionales?",0.0,58,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, esta persona quiere poner en duda la reforma constitucional; bueno, vamos a ver qué dicen los ocho, entonces vamos a esperarnos. Pero tiene que quedar muy claro que ocho ministros no pueden estar por encima del pueblo de México y que quien está poniendo en duda la reforma constitucional, que ya es parte de la Constitución, no es la Presidenta de la República, son los ocho ministros y ministras.",0.0,70,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Por eso, yo digo: Que recuerden sus clases de derecho, que recuerden su formación. Y vamos a ver cuál es la votación; de cualquier forma, nosotros estamos preparados para una o para otra.",0.0,33,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Ahora, fíjense y lo menciono, un expresidente de México, hoy vocero —bueno, siempre fue vocero del conservadurismo, pero hoy más todavía—. Fíjense dónde publica su artículo, para empezar. ¿Lo publicó en un periódico de circulación nacional? No. ¿Lo publicó en sus redes sociales exclusivamente?  Lo publica en un periódico de Estados Unidos, el Washington Post. ¿No les parece que algo no está bien?",0.0,63,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"O sea, ¿a quién le está hablando?, ¿al pueblo de México desde un periódico en Estados Unidos? Pues lo hubiera publicado en Reforma, en El Universal, en Milenio, en Excélsior, en… –¿quién me falta?–, en Proceso, El Heraldo, cualquiera. Y no lo hablo por mal, sino sencillamente porque son periódicos que, aunque son metropolitanos la mayoría de ellos, son los periódicos de la vida nacional.",0.0,65,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"No, no lo publica en un periódico nacional, lo publica en el Washington Post. Entonces, ¿a quién se dirige? Pues a los estadounidenses, ¿no? O al gobierno de Estados Unidos o a la política de Estados Unidos.",0.0,37,4,11,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Bueno, él privatizó los ferrocarriles a extranjeros.",0.0,7,4,11,2024
