Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA, Para afrontar al crimen organizado y alcanzar los objetivos de la actual estrategia de seguridad la coordinación es fundamental entre los diferentes niveles de gobierno.,0.0,25,17,12,2024
PREGUNTA,"Para sumarnos a este esfuerzo, el Ejército, Marina, Fuerza Aérea y la Guardia Nacional mantienen un despliegue permanente de 194 mil 355 elementos en diferentes actividades en cumplimiento de sus misiones asignadas en el país, pero la principal tarea es proporcionar seguridad a todos los mexicanos, por lo que para esta labor, de estos efectivos, 140 mil 447 integrantes de las Fuerzas Armadas de tierra, mar y aire se encuentran desplegados en todo el territorio nacional.",0.0,76,17,12,2024
PREGUNTA," Con el incremento de la fuerza operativa de la Guardia Nacional a 120 mil 200 elementos en las últimas 10 semanas, esta institución ha contribuido de manera importante en el esfuerzo nacional que realizan todas las dependencias de seguridad con los siguientes porcentajes:",0.0,43,17,12,2024
PREGUNTA,42 por ciento en la detención de infractores de la ley.,0.0,11,17,12,2024
PREGUNTA,100 por ciento en la confiscación de goma de opio.,0.0,10,17,12,2024
PREGUNTA,88 por ciento en incautación de dólares americanos.,0.0,8,17,12,2024
PREGUNTA,90 por ciento en operaciones de rescate humanitario.,0.0,8,17,12,2024
PREGUNTA,Y 47 por ciento en vehículos asegurados.,0.0,7,17,12,2024
PREGUNTA," De igual forma, con la finalidad de garantizar la seguridad de los 12.5 millones de visitantes que acuden a la Basílica con motivo de los festejos del Día de la Virgen de Guadalupe, en esta Ciudad los días 11, 12 y 13 de diciembre de 2024, la Guardia Nacional implementó la operación Plan Caravana 2024.",0.0,55,17,12,2024
PREGUNTA,"En este plan tomaron parte mil 241 efectivos, 475 patrullas, dos helicópteros, una aeronave tripulada a distancia y 37 drones, los cuales realizaron diversas operaciones en los principales accesos a la Ciudad de México, y 750 efectivos más realizaron actividades de proximidad en las aceras y atrio de la Basílica de Guadalupe, lográndose que no se presentara ningún incidente.",0.0,59,17,12,2024
PREGUNTA," Dentro de este rubro y en materia de salvaguarda de la vida humana en el mar, la Armada de México en funciones de Guardia Costera, efectuó el rescate de 114 personas, 15 evacuaciones médicas y 41 traslados; se prestó atención médica de primer contacto a 4 mil 480 personas, mediante consultas de medicina general, psicología, odontología, pláticas de salud y otros servicios.",0.0,62,17,12,2024
PREGUNTA," Con el fortalecimiento de las labores de inteligencia e investigación, en coordinación conjunta entre el Ejército, Marina, Fuerza Aérea, Guardia Nacional y las instituciones de seguridad pública de los tres niveles de gobierno, se han logrado, durante las primeras 10 semanas de la presente administración, los siguientes resultados:",0.0,48,17,12,2024
PREGUNTA,La detención de 6 mil 745 generadores de violencia.,0.0,9,17,12,2024
PREGUNTA,El aseguramiento de:,0.0,3,17,12,2024
PREGUNTA,3 mil 23 armas de fuego.,0.0,6,17,12,2024
PREGUNTA,557 mil 845 cartuchos.,0.0,4,17,12,2024
PREGUNTA,289 granadas.,0.0,2,17,12,2024
PREGUNTA,4 mil 478 vehículos.,0.0,4,17,12,2024
PREGUNTA,Mil 168 kilogramos y 428 mil 578 pastillas de fentanilo.,0.0,10,17,12,2024
PREGUNTA,19 mil 741 kilogramos de metanfetaminas.,0.0,6,17,12,2024
PREGUNTA,24 mil 352 kilogramos de cocaína.,0.0,6,17,12,2024
PREGUNTA,16 mil 042 kilogramos de marihuana.,0.0,6,17,12,2024
PREGUNTA,28 laboratorios clandestinos de metanfetamina.,0.0,5,17,12,2024
PREGUNTA,20 millones 72 mil 417 pesos mexicanos.,0.0,7,17,12,2024
PREGUNTA,Y 2 millones 447 mil 318 dólares americanos.,0.0,8,17,12,2024
PREGUNTA," De todas estas acciones, en los últimos tres meses, resalta la captura de Hernán Domingo “N”, Martín “N”, Omar “N”, Armando “N”, Gerardo “N”, Said “N”, Wilberth “N” y Uriel “N”.",0.0,31,17,12,2024
PREGUNTA," Y es relevante también, en la presente administración los siguientes aseguramientos:",0.0,11,17,12,2024
PREGUNTA,"Mil 125 kilogramos de metanfetamina y 303 kilogramos de cocaína, en el estado de Baja California.",0.0,16,17,12,2024
PREGUNTA,"Mil 102 kilogramos de fentanilo, equivalentes a 20 millones de pastillas, en el estado de Sinaloa que no llegarán a las calles para dañar la salud de la población, hecho que tuvo una trascendencia internacional, mismo que refrenda el compromiso de México a nivel global.",0.0,45,17,12,2024
PREGUNTA,"Además, en una operación considerada la más grande de aseguramiento en la mar, se realizó el decomiso de 8 mil 361 kilogramos de cocaína, así como de seis embarcaciones menores al sureste de las costas de Michoacán.",0.0,37,17,12,2024
PREGUNTA,Resalta también el aseguramiento de 936 kilogramos de cocaína en el estado de Sonora.,0.0,14,17,12,2024
PREGUNTA,Así como el decomiso de 27 animales exóticos y la detención de 38 personas en una finca en el Estado de México.,0.0,22,17,12,2024
PREGUNTA,"Mariana Madrid, de Albavisión. Primero, preguntarle: ¿cómo le fue ayer en su reunión con el presidente de Colombia?",0.0,18,17,12,2024
PREGUNTA,"En otro tema, que tiene que ver con seguridad, preguntarle sobre esta estrategia que está aplicando el nuevo gobierno allá en Chiapas, de un grupo especial de élite, que en uno de sus operativos detuvo a 92 policías municipales. Saber, si ¿valdría la pena que se replicará esta estrategia en toda la República y qué acciones van a tomar desde gobierno para evitar que los policías municipales caigan en actividades ilícitas?",0.0,71,17,12,2024
PREGUNTA,"En un primer tema, preguntar, ¿si nos pueden dar más detalles sobre la detención de Dámaso López, “el Min Lic”?, y si ¿se solicitará, como en el caso de Osiel Cárdenas, la extradición a México?",0.0,35,17,12,2024
PREGUNTA,"Presidenta, en un segundo tema, el 4 de diciembre se cumplieron dos meses de la desaparición de la activista Sandra Domínguez y de su esposo Alexander Hernández, en Oaxaca. Saber ¿qué información sobre esta búsqueda?",0.0,35,17,12,2024
PREGUNTA,"Presidenta, otra línea de investigación justo de este caso es el activismo de la abogada Sandra Domínguez, quien reveló que existía un chat en el que se compartía contenido íntimo de mujeres y en el que estaría relacionado un funcionario del estado de Oaxaca. Preguntarle si ¿se está investigando más sobre este caso?",0.0,53,17,12,2024
PREGUNTA,"Y, también, si ¿su gobierno va a impulsar alguna normativa en particular para atender los casos de violencia digital?, ¿se fortalecerá la Ley Olimpia o cuál será la propuesta?",0.0,29,17,12,2024
PREGUNTA,"Y, finalmente, ahondando en esta reunión que sostuvo con el presidente Gustavo Petro, saber si ¿se trató de una visita oficial?, porque no hubo los protocolos correspondientes a una visita de Estado.",0.0,32,17,12,2024
PREGUNTA,¿Hay algún tema en particular?,0.0,5,17,12,2024
PREGUNTA,"Sobre el tema de seguridad, varias preguntas sobre Chiapas. ¿Hay algún plan para hacer operativos, como en Sinaloa donde se ha reforzado la seguridad y ahí se vieron los resultados?",0.0,30,17,12,2024
PREGUNTA,"Y luego, ¿qué otras acciones planean llevar a cabo para poner fin a la guerra entre los grupos delictivos en Sinaloa?",0.0,21,17,12,2024
PREGUNTA,"Sobre el plan de visita casa por casa, ¿qué hacen con la información que se recoge ahí, que se ve que es valiosa?, ¿a dónde va esa información?",0.0,28,17,12,2024
PREGUNTA,"Y luego, ¿cómo planea usted como Presidenta, el gobierno, cambiar la percepción que tienen algunos medios o que dan algunos medios de que la guerra… lo que se está implementando como estrategia es seguridad, no está dando los frutos esperados?",0.0,40,17,12,2024
PREGUNTA,"¿Por qué usted está tan segura de que la estrategia de seguridad sí va a funcionar, como lo ha dicho en este Consejo?",0.0,23,17,12,2024
PREGUNTA,"En temas internacionales, ayer Trump dio una conferencia de prensa —hay que hablar de Trump, lo siento— dio una conferencia de prensa en Mar-a-Lago y él afirmó que su gobierno hará como una especie de montaña del muro fronterizo con México. Dijo que gastará cientos de millones de dólares en construir el mismo muro, que ya existe, y pidió al gobierno de Biden dejar de… de deshacerse de las piezas estas utilizadas, que no se utilizaron en el primer muro cuando Trump estaba de presidente.",0.0,85,17,12,2024
