Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Voy, antes de pasar a las preguntas, —si me ponen el video también de Aduanas, por favor—. Este es otro anuncio, es el tercero.",0.0,24,19,12,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,(PROYECCIÓN DE VIDEO),0.0,3,19,12,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO, Vamos a firmar el decreto que informó el licenciado Marcelo Ebrard.,0.0,11,19,12,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,(FIRMA DE DECRETO),0.0,3,19,12,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Ahora sí, vamos a las preguntas.",0.0,6,19,12,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"—Sobre el tema. A ver, aquí—.",0.0,6,19,12,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," —Marcelo, ¿quieres?—",0.0,2,19,12,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," También se puso condiciones a estas empresas que venden distintos productos, pero entre otros productos textiles, los que uno compra de manera electrónica porque no estaban pagando prácticamente nada. Entonces, también ahí hay una revisión.",0.0,35,19,12,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Canadian Pacific es la única empresa ferroviaria que tiene la capacidad de mover mercancía desde México hasta Canadá. Es, digamos, una empresa que, en cierta forma, refleja el Tratado Comercial México-Estados Unidos-Canadá.",0.0,32,19,12,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"En la época del presidente Trump —Marcelo estaba de canciller— se les dio autorización para que construyeran un nuevo puente ferroviario en Nuevo Laredo. Ya está construido ese puente, que es muy importante porque Nuevo Laredo es la principal Aduana de México.",0.0,42,19,12,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y cuando vas por tráiler pues son muchísimas horas de filas para poder pasar la mercancía del otro lado de la frontera. Entonces, el llevar, o sea, que el tren pueda pasar directo, evidentemente, pasando la Aduana con distintos mecanismos, principalmente tecnológicos: Rayos X y otras formas de evaluar lo que hay en cada uno de los contenedores, pues la mercancía que se produce en México puede llegar hasta Canadá con las vías de Canadian Pacific.",0.0,76,19,12,2024
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, este puente ya está terminado, tiene ya todos los permisos de México, faltan algunos permisos de Estados Unidos, pero idealmente se estaría inaugurando en el mes de febrero.",0.0,29,19,12,2024
