Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA, Muchas gracias. Muy buenos días a todas y a todos.,0.0,10,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Con su permiso, Presidenta.",0.0,4,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Vamos a iniciar el día de hoy con una imagen que presentamos cuando inició la sección de “Mujeres en la historia” en “Las Mañaneras del pueblo”. Yo les presentaba esta imagen de Josefa Ortiz Téllez-Girón, donde hace referencia a que “Hidalgo fue el cerebro de la idea de la emancipación y la Corregidora el corazón de la misma idea”.",0.0,59,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,Hablábamos en aquella oportunidad que teníamos que empezar a eliminar estos estereotipos y vínculos con los que se ligaba a la participación de las mujeres.,0.0,25,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Frecuentemente relacionamos a Josefa Ortiz como “la esposa del Corregidor”, ¿no?, todavía hacemos énfasis mucho en el “de Domínguez”.",0.0,19,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Y lo importante es recuperar en estas mujeres su participación, su agencia, sus decisiones, sus convicciones. Y es por ello, que el día de hoy queremos dedicar la cápsula a Josefa Ortiz Téllez-Girón, para reconocer qué hizo en el proceso independentista.",0.0,41,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Porque creo que la vinculamos a aquellos famosos “zapatazos”, ¿no?, esos tres momentos en los que ella avisa que “La Conspiración” ha sido descubierta, pero sale en libertad hasta 1817; es decir, que se mantuvo activa.",0.0,36,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Algo también que es muy importante destacar, es la edad que tenía Josefa Ortiz de Domínguez para este momento, 37 años cuando se incorpora al proceso de la insurgencia, 44 cuando queda en libertad.",0.0,34,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,Conozcamos un poco más sobre Josefa Ortiz Téllez-Girón.,0.0,8,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,(PROYECCIÓN DE LA SECCIÓN “MUJERES EN LA HISTORIA” SOBRE LA VIDA DE JOSEFA ORTIZ TÉLLEZ-GIRÓN),0.0,15,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA," Así es, una mujer congruente hasta el final de sus días.",0.0,11,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Y hablando acerca de lo que se decía de ella, me gustaría compartir brevemente. En 1811, cuando se deja en libertad en primer momento, se habla de ella lo siguiente.",0.0,30,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"“El torrente de esa señora ha conducido a depravados fines, ella no tenía empacho en concurrir en juntas que formaban los malévolos”. Hablan de ella como “el torrente”, tenía 37 años.",0.0,31,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Pero más importante, en 1813, una vez que ya sale en libertad, en 1811, se mantiene con los insurgentes, se mantiene apoyando.",0.0,22,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Y Mariano Beristaín, que es mandado a Querétaro, le escribe una carta al entonces ya virrey Félix María Calleja, refiriéndose a ella de esta manera:",0.0,25,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"“Es el agente más efectivo, descarado, audaz e incorregible, que no pierde ocasión ni un momento de inspirar odio al rey y determinaciones justas del gobierno legítimo de este reino y tal es, la mujer del corregidor, —ni siquiera la enuncia, la mujer del corregidor de esa ciudad—, esta es una verdadera ´Ana Bolena´ que ha tenido el valor de intentar seducirme a mí mismo”.",0.0,65,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Entonces, de “descarada” no bajaban a Josefa Ortiz que, como vimos, sale en libertad hasta 1817, cuando ella misma emprende su defensa enviándole cartas al virrey Calleja donde le dice: “¿Cuál es mi delito?”",0.0,34,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Y algo muy importante, y yo creo que también muy valorado de mencionar: cuando se instala la Corte de Agustín de Iturbide, ella rechaza participar esta Corte, porque dice: “No luchamos por esta forma de gobierno”.",0.0,36,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,Que tengan un excelente día.,0.0,5,19,12,2024
SUBSECRETARIA DE EDUCACION BASICA DE LA SECRETARIA DE EDUCACION PUBLICA,"Es cuanto, Presidenta.",0.0,3,19,12,2024
