Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL," Muchas gracias, Presidenta. Con su permiso.",0.0,6,19,12,2024
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL,Buenos días a todas y a todos.,0.0,7,19,12,2024
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL,"La Presidenta me ha indicado informar que vamos a proceder, a partir del día 24 de diciembre, con los pagos pendientes del programa Producción para el Bienestar, que es uno de los programas de Bienestar.",0.0,35,19,12,2024
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL,"Son 176 mil 563 productores y productoras en siete entidades, principalmente, del país: Chihuahua, con 52 mil, es la más importante; Sinaloa, con casi 37 mil; Nayarit, 29 mil 500 personas; Tlaxcala, casi 21 mil; Querétaro, 16 mil 700 aproximadamente; Coahuila, 10 mil 600; Sonora, 5 mil 900; y otros estados, varios, 4 mil 300.",0.0,55,19,12,2024
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL,"En total, ya dije, 176 mil 563 agricultores, agricultoras, con un monto total de mil 482 millones 986 mil 800 pesos, que comenzarán a recibir a través de las Tarjetas de Bienestar que tienen todas estas personas, a contar del día 24 de diciembre.",0.0,44,19,12,2024
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL,"Eso es cuanto, Presidenta.",0.0,4,19,12,2024
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL,Con permiso.,0.0,2,19,12,2024
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL," Con su permiso, Presidenta.",0.0,4,19,12,2024
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL,Muy buenos días.,0.0,3,19,12,2024
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL,Les voy a presentar varias medidas instruidas por la Presidenta Sheinbaum que tienen como objetivo:,0.0,15,19,12,2024
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL,"Uno, evitar que se abusen de disposiciones vigentes en contra de la industria textil mexicana. Es una industria muy importante, ahora les digo por qué, simplemente por el número de empleos, son prácticamente alrededor de 400 mil empleos. Entonces, esa es una.",0.0,42,19,12,2024
SECRETARIO DE AGRICULTURA Y DESARROLLO RURAL,"Y la otra es, se complementa la lista de fracciones arancelarias a las que se aplica 35 por ciento, que fue publicada en abril de este año, y ahora hacemos un complemento de 138 fracciones arancelarias que se incluyen en este arancel.",0.0,42,19,12,2024
