Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DIRECTOR GENERAL DEL AEROPUERTO INTERNACIONAL “FELIPE ANGELES”," Con su permiso, señora Presidenta. Buenos días a las distinguidas y distinguidos representantes de los medios masivos de información.",0.0,19,20,12,2024
DIRECTOR GENERAL DEL AEROPUERTO INTERNACIONAL “FELIPE ANGELES”,"Me voy a permitir hacer una breve reseña de cómo ha evolucionado el Aeropuerto “Felipe Ángeles”, a partir del día de su inauguración.",0.0,23,20,12,2024
DIRECTOR GENERAL DEL AEROPUERTO INTERNACIONAL “FELIPE ANGELES”,"—Como se puede observar en esta gráfica— en el año 2022, durante los primeros nueve meses de operación se transportaron 912 mil 415 pasajeros; durante 2023, esta cantidad ascendió a 2.63 millones de pasajeros.",0.0,34,20,12,2024
DIRECTOR GENERAL DEL AEROPUERTO INTERNACIONAL “FELIPE ANGELES”,"Durante este año 2024, tenemos un dato importante, que es el pico máximo que hemos tenido durante los primeros 11 meses del año, destacando que en noviembre se han transportado 624 mil 883 pasajeros. Esto posiciona al Aeropuerto “Felipe Ángeles” como el aeropuerto número 6 de los 80 que existen en el Sistema Aeroportuario Mexicano.",0.0,55,20,12,2024
DIRECTOR GENERAL DEL AEROPUERTO INTERNACIONAL “FELIPE ANGELES”,Y es importante mencionar que vamos nosotros a cerrar este año con más de 6.2 millones de pasajeros.,0.0,18,20,12,2024
DIRECTOR GENERAL DEL AEROPUERTO INTERNACIONAL “FELIPE ANGELES”,"Iniciamos operaciones el 21 de marzo de 2022 con seis rutas, teníamos: Tijuana, Cancún, Guadalajara, Monterrey, Mérida y Villahermosa.",0.0,19,20,12,2024
DIRECTOR GENERAL DEL AEROPUERTO INTERNACIONAL “FELIPE ANGELES”,"Y como pueden ustedes observar en esta lámina, son 37 destinos nacionales con los que ya estamos operando, donde están las principales ciudades de negocios de este país y también los principales destinos turísticos.",0.0,34,20,12,2024
DIRECTOR GENERAL DEL AEROPUERTO INTERNACIONAL “FELIPE ANGELES”,"El 21 de marzo de 2022, también iniciamos únicamente con una ruta internacional, que era a Caracas, Venezuela; y actualmente tenemos nueve rutas —como pueden ver en esta lámina— destacando que en el mes de mayo próximo pasado iniciamos operaciones a Europa, a la ciudad de Sofía, en Bulgaria.",0.0,49,20,12,2024
DIRECTOR GENERAL DEL AEROPUERTO INTERNACIONAL “FELIPE ANGELES”,"Por lo que respecta a la carga, desde el último trimestre del año pasado, 2023, el Aeropuerto “Felipe Ángeles” se convirtió en el primer aeropuerto de los 80 que existen en el país en la transportación de carga, lo que nos ha permitido, hasta el mes de diciembre, haber transportado 581 mil toneladas. Y esto ha permitido que, gracias a estas operaciones de comercio exterior, el Sistema de Administración Tributaria de nuestro país ha logrado recaudar más de 118 mil millones de pesos.",0.0,83,20,12,2024
DIRECTOR GENERAL DEL AEROPUERTO INTERNACIONAL “FELIPE ANGELES”,¿Qué significan estas 581 mil toneladas?,0.0,6,20,12,2024
