Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
INTERVENCION HOMBRE," Buenos días a todos los mexicanos y mexicanas, dondequiera que se encuentren. Buenos días, Presidenta Claudia Sheinbaum. Saludo desde San José, California.",0.0,22,27,12,2024
INTERVENCION HOMBRE," Somos la salsa que le damos el sabor a la economía de Estados Unidos. ¡Viva México!, desde California.",0.0,18,27,12,2024
INTERVENCION HOMBRE," Doctora Claudia Sheinbaum, un orgullo tenerla como nuestra primer mujer Presidenta de México. Confiamos en ustedes. Un abrazo desde Denver, Colorado.",0.0,21,27,12,2024
INTERVENCION HOMBRE, Le mandamos un fuerte abrazo desde Canadá. ¡Y que viva México!,0.0,11,27,12,2024
INTERVENCION HOMBRE," Desde el Área de la Bahía de San Francisco, le mando un caluroso saludo. Aquí, como en toda la Unión Americana, habemos millones que la apoyamos.",0.0,26,27,12,2024
INTERVENCION HOMBRE," Claudia, desde Minnesota, aquí en Estados Unidos, queremos mandarte todo nuestro apoyo.",0.0,12,27,12,2024
INTERVENCION HOMBRE, Contamos con el pueblo de México. ¡Y que viva México!,0.0,10,27,12,2024
INTERVENCION HOMBRE," Desde el río Saint Laurent, en Montreal.",0.0,7,27,12,2024
INTERVENCION HOMBRE, Desde Madrid.,0.0,2,27,12,2024
INTERVENCION HOMBRE, Todo el apoyo desde Francia.,0.0,5,27,12,2024
INTERVENCION HOMBRE," Desde Liubliana, Eslovenia.",0.0,3,27,12,2024
INTERVENCION HOMBRE," Desde Zúrich, Suiza.",0.0,3,27,12,2024
INTERVENCION HOMBRE," Desde Denver, Colorado.",0.0,3,27,12,2024
INTERVENCION HOMBRE, Saludos desde la Ciudad de la Milla.,0.0,7,27,12,2024
INTERVENCION HOMBRE," Desde Santa Ana, California.",0.0,4,27,12,2024
INTERVENCION HOMBRE, ¡Viva México!,0.0,2,27,12,2024
INTERVENCION HOMBRE,(FINALIZA VIDEO),0.0,2,27,12,2024
