Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PROCURADOR FEDERAL DEL CONSUMIDOR," Buenos días. Muchas gracias, Presidenta. Con su permiso.",0.0,8,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,Buenos días a todas y a todos.,0.0,7,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,Hoy vamos a presentar cuatro temas muy rápido:,0.0,8,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,"Iniciamos con los precios promedio de las gasolinas. La gasolina regular la tenemos en 23 pesos con 97 centavos; la premium, 25 pesos con 39 centavos; y el diésel, 25 pesos con 69 centavos por litro.",0.0,36,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,Vamos a dar a conocer quiénes son las estaciones de servicio que dan los combustibles más baratos y más caros:,0.0,20,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,"Tenemos, los más baratos en gasolina regular, de 24 pesos con 42 centavos litro hasta 22 pesos con 19 en esta estación Bristoil en Tonalá, Jalisco. Esto depende del precio en cada una de las regiones. Vamos a darle a todas estas gasolineras una palomita.",0.0,45,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,"Continuamos con el precio de la gasolina regular más cara, que identificamos en nuestro monitoreo, que va de 24 pesos con 95 centavos hasta 26 pesos con 80 en la estación Chevron en Culiacán, Sinaloa, El Trébol S.A. de C.V.; vamos a darles a estas estaciones un tache.",0.0,48,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,"Continuamos con los precios más baratos de las gasolinas premium, que los identificamos desde 24 pesos con 19 centavos hasta 22 con 57, en esta estación de Ixhuatlán del Sureste, en Veracruz, de la marca Pemex. Les vamos a dar una palomita.",0.0,42,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,"Continuamos con las gasolinas premium más caras, que van de 26.16 a 27.99 pesos litro en la estación Chevron Irapuato, Guanajuato. Les vamos a dar un tache.",0.0,27,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,"Seguimos ahora con el precio del diésel que, el más barato que identificamos en un rango, depende de la región, de 26.19 hasta 24.65, en esta estación Pemex en Guadalajara, Jalisco. Vamos a darles una palomita.",0.0,36,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,"Y finalizamos combustibles con el precio del diésel más caro que ubicamos en nuestro monitoreo, depende la región, de 26.69 hasta 27.44 por litro identificamos en esta estación en Cancún, Quintana Roo, de la marca Fullgas. Le vamos a dar un tache.",0.0,42,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,"—Continuamos, por favor—.",0.0,3,30,12,2024
PROCURADOR FEDERAL DEL CONSUMIDOR,"Bien. Una de las tradiciones en la cena de mañana en la noche, las famosas “12 uvas”. En esta temporada se incrementan mucho los precios y por eso vamos a orientar a las personas a dar los precios que encontramos en nuestro monitoreo:",0.0,43,30,12,2024
