Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU," Buenos días a todas y a todos. Con su permiso, Presidenta.",0.0,11,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"Compañeros de los diferentes organismos del Gobierno Federal, amigos de los medios de comunicación. Reciban un saludo de la doctora Edna Vega, quien en este momento está representando a México en Nairobi, en la Asamblea General de ONU-Habitat.",0.0,38,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"Para que identifiquen ONU-Habitat, así como la Unesco entre las organizaciones de las Naciones Unidas representa a la educación, ONU-Habitat se refiere a los asentamientos humanos en el mundo. Y México tiene la Presidencia, en ese caso en lo que es el Consejo de ONU-Habitat.",0.0,45,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,Iniciamos con los avances del Programa de Vivienda.,0.0,8,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"Aquí nada más haciendo un recordatorio: dentro de la meta sexenal, recordarán, tenemos un millón de viviendas nuevas para cubrir en este sexenio, 450 mil acciones de mejoramiento y ampliación que también se estarán llevando a cabo, y un millón de escrituras que también se tienen previstas para este periodo.",0.0,50,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"Ahora, ¿cuál es la meta para el año 2025?, también recordándola. Son más de 120 mil viviendas nuevas, son 100 mil acciones de mejoramiento en la zona oriente del Estado de México, insisto, para el año 2025, y más de 120 mil escrituras también para el año 2025.",0.0,48,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,¿Cómo vamos al día de hoy?,0.0,6,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"Tenemos una reserva territorial conformada por 261 predios. De estos 261 predios, ya abarca lo que es la meta de suelo de tierra que se requiere para el 100 por ciento del año 2025, lo cual representa en superficie 2 mil 584 hectáreas.",0.0,43,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"De manera adicional, en este momento, de manera adicional a los 261 predios, se están analizando 56 predios más. Analizando en términos de que tengan acceso a infraestructura, que tengan proximidad a lo que son servicios de educación, cultura, salud, etcétera, sobre todo, que contribuyan al desarrollo humano de las personas; que tengan una conexión directa con asentamientos humanos existentes, ya sea de manera interurbana o periurbana; y también que no se encuentren en una condición de riesgo; y de manera adicional, haciendo valer el derecho humano a la movilidad, estén cercanos o contiguos a lo que son vías primarias o secundarias.",0.0,102,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"Estos predios que se han identificado son del Gobierno Federal, de gobiernos estatales, son parte de la reserva del Infonavit y también de gobiernos municipales.",0.0,25,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"Se han instalado todas las mesas de coordinación en las 32 entidades federativas, con respecto a las 32 entidades federativas. Y se han firmado al día de hoy, de tres convenios de colaboración: con Baja California Sur, recordarán, fue el primero, en el cual estuvo como testigo de honor la Presidenta; después, se firma en Tamaulipas y en Sonora.",0.0,59,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"Tenemos previsto en lo que resta del año, por lo menos firmar un tanto más de convenios con diferentes entidades federativas, sino es que un poco más.",0.0,27,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"Y en relación a los proyectos de cada uno de estos conjuntos de vivienda, se están desarrollando ya muchos de ellos, y en las intervenciones de mis compañeros: Rodrigo, de Conavi; y Octavio, de Infonavit, estarán explicando el detalle al respecto.",0.0,41,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"Sin más, yo cedería la palabra a Rodrigo Chávez para que nos comentara lo correspondiente a Conavi.",0.0,17,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,Muchas gracias.,0.0,2,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU," Con su permiso, Presidenta. Buenos días a todas y a todos, compañeros funcionarios.",0.0,13,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,"De la parte que nos toca a la Comisión Nacional de Vivienda, que son 500 mil viviendas en el sexenio y 300 mil mejoramientos, para el 2025 vamos a construir 50 mil viviendas nuevas y 100 mil mejoramientos en la zona oriente del Estado de México.",0.0,46,9,12,2024
SUBSECRETARIO DE DESARROLLO URBANO Y VIVIENDA DE LA SEDATU,¿Cómo vamos en el suelo para la construcción de las viviendas?,0.0,11,9,12,2024
