Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO, Buenos días.,0.0,2,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Almirante Juan José Padilla Olmos.,0.0,5,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"A manera de introducción, quisiera informarles de la relación que tiene el Grupo Aeroportuario de la Ciudad de México con el Aeropuerto Internacional:",0.0,23,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"El Grupo Aeroportuario de la Ciudad de México se constituyó en 1998 y a partir de esa fecha, ha recibido diversas encomiendas del Gobierno Federal. Las encomiendas del Gobierno Federal que les voy a informar son las referidas únicamente a cuando ya se dio la relación del Grupo con el Aeropuerto, y esto sucedió durante los años 2023 y 2024, cuando a partir de la directiva del Gobierno Federal de que los aeropuertos fueran administrados por las Fuerzas Armadas, inició la relación del Grupo con el Aeropuerto Internacional.",0.0,88,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Posteriormente, entre el año ‘23 y ‘24 se asignaron seis aeropuertos al Grupo Aeroportuario, así como se sectorizó el aeropuerto y el grupo a la Secretaría de Marina.",0.0,28,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Actualmente, el Grupo Aeroportuario tiene la función de ser una unidad productiva orientada a la administración, operación y explotación de los aeropuertos.",0.0,22,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Entre los aeropuertos más importantes que maneja el Grupo Aeroportuario está el de la Ciudad de México, Toluca, Ciudad del Carmen, Matamoros, Ciudad Obregón y Cuernavaca.",0.0,26,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Antes de entrar en la materia, motivo de la presente exposición, quisiera citar un antecedente muy reciente que, sin duda, sumará a la importancia del requerimiento de la remodelación y mantenimiento del aeropuerto:",0.0,33,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"De los aeropuertos bajo el cargo de SEMAR, el Aeropuerto de la Ciudad de México y los aeropuertos de Toluca y Cuernavaca fueron considerados, junto con el Aeropuerto Internacional ""Felipe Ángeles"", aeropuertos estratégicos durante la realización del Mundial 2026, orgullosamente los denominamos: “Aeropuertos FIFA”.",0.0,44,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"En lo que se refiere a los aeropuertos de Marina, la situación se formalizó el miércoles 8, mediante la firma de un convenio entre los administradores del aeropuerto, personal de la Secretaría de Marina y FIFA.",0.0,36,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Ante el evento anterior, el secretario de Marina instruyó al Grupo Aeroportuario a tomar las acciones necesarias para que estas instalaciones fueran un digno representante de México durante citado evento.",0.0,30,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Es necesario señalar que, al inicio de la presente administración, la señora Presidenta dio instrucciones a la Secretaría de Marina de continuar con las mejoras del Aeropuerto Internacional, sumando a estas instrucciones una muy puntual: hacer las mejoras de manera expedita.",0.0,41,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Las instrucciones de la Presidencia de la República tienen como objetivo continuar con las mejoras a la presentación del aeropuerto y a la satisfacción del pasajero, objetivo que debe ir respaldado con garantizar la seguridad aérea y física de las personas, aeronaves e instalaciones, realizando para ello, trabajo de mantenimiento a los sistemas que garantizan su funcionalidad y operatividad, tales como: sistemas eléctricos, aires acondicionados, sistemas hidrosanitarios, tratamiento de aguas negras y grises.",0.0,73,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Se sumaron a estas acciones una muy importante: tomar medidas para incrementar la sustentabilidad ambiental y, de ser posible, llegar al Mundial del 2026 con la certificación ambiental de “Aeropuerto Verde”.",0.0,31,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"En el marco del próximo Mundial 2026, resulta importante destacar la participación del Aeropuerto Internacional de la Ciudad de México como un elemento clave para el éxito de citado evento.",0.0,30,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Este compromiso está alineado con el punto 87 de los 100 establecidos al inicio de la administración, el cual contempla, entre otros aeropuertos, la remodelación del Aeropuerto Internacional de la Ciudad de México.",0.0,33,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Estas acciones reflejan la importancia otorgada a la modernización y expansión de la infraestructura aeroportuaria del país y que, sin duda, tendrán repercusiones positivas a nivel internacional, no solo para un evento de la importancia del mundial, sino para mantener de forma permanente la atención a los pasajeros nacionales y extranjeros.",0.0,51,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"No se debe dejar por un lado que este año el aeropuerto celebra 97 años desde el inicio de sus operaciones, manteniéndose orgullosamente siempre como la principal entidad aeroportuaria de nuestro país.",0.0,32,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Esta entidad ha sufrido múltiples transformaciones, pero ninguna con el alcance que más adelante se abordará.",0.0,16,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"La Terminal 1 fue inaugurada en 1952 y sufrió su remodelación más importante en el 2002, cuando se amplió la zona internacional y se construyó su estacionamiento.",0.0,27,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"En cuanto a la Terminal 2, esta solo ha sido sujeta, se inauguró en el 2008, y solo ha sido sujeta a mantenimientos programados.",0.0,24,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Las estadísticas que reflejan la importancia de este aeropuerto son las siguientes:,0.0,12,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,En el año 2024 transportó más de 45 mil… 45 millones de pasajeros; transportó más de 240 mil toneladas de carga.,0.0,21,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Es el tercer aeropuerto con mayor índice de puntualidad a nivel internacional.,0.0,12,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,No tuvo ningún reporte en materia de seguridad aérea.,0.0,9,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Participó en 78 aseguramientos, aseguramientos que suman un total de 2 mil 500 kilogramos de sustancias ilícitas, entre las que destacan: 480 kilogramos de cocaína, mil kilogramos de metanfetamina y 902 de sustancias prohibidas de las denominadas precursores.",0.0,38,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"En lo relativo a la puntualidad, a los aseguramientos y a la seguridad, es conveniente reconocer el trabajo del personal del Aeropuerto Internacional de la Ciudad de México, tanto aerolíneas como personal de seguridad y el personal del aeropuerto.",0.0,39,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Para cumplir con el compromiso de la Presidencia de la República y garantizar un servicio de calidad a los pasajeros tanto nacionales, como extranjeros, no solo durante el Mundial, sino como un compromiso permanente con el pueblo mexicano y turistas tanto nacionales como extranjeros: Se ha programado una inversión aproximada de 8 mil millones de pesos, la cual contempla una remodelación integral que considere la parte estética y funcional, sin olvidar el mantenimiento y conservación; de igual manera, hacer las coordinaciones necesarias para mejorar las vialidades internas y externas.",0.0,89,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Referente a esta inversión, se hace necesario darle importancia a que los recursos asignados para realizarla no requerirán del presupuesto de la Federación, debido a que se realizarán con recursos autogenerados; de igual manera, hacerse necesario reconocer la administración del Aeropuerto Internacional de la Ciudad de México.",0.0,47,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Citada remodelación, ya ha iniciado con los procesos administrativos y se tiene previsto comenzar la obra entre abril y junio del presente año, con una fecha estimada de conclusión entre abril y mayo del 2026.",0.0,35,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Es importante resaltar que esta remodelación no afectará la operación rutinaria del aeropuerto ya que se ejecutará por etapas, etapas que permitirán la entrega paulatina de las áreas remodeladas con la primicia de tener listas las instalaciones del aeropuerto para junio del 2026.",0.0,43,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,La ruta crítica está integrada por dos fases:,0.0,8,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,La primera es la contratación y supervisión del proyecto.,0.0,9,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"La segunda es la remodelación de las terminales, que incluyen el concurso arquitectónico, la contratación del proyecto integral, la adjudicación, el desarrollo del proyecto, la ejecución de la obra y, finalmente, la entrega administrativa.",0.0,34,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Referente al programa establecido a inicios del presente año: los hitos y metas se están cumpliendo de acuerdo a los estipulado.,0.0,21,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"A continuación, para ampliar la información les vamos a presentar un video corto.",0.0,13,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,—Adelante—.,0.0,1,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,(PROYECCIÓN DE VIDEO),0.0,3,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO," Finalmente, con las instrucciones dadas por el Ejecutivo Federal, la supervisión de la Secretaría de Marina, los aeropuertos de la Ciudad de México, Toluca y Cuernavaca serán dignos anfitriones del Mundial 2026; contribuirán con sus instalaciones y nuevas capacidades a incrementar la conectividad aérea y a fomentar el desarrollo de las comunidades donde se encuentran citadas instalaciones.",0.0,57,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Muchas gracias.,0.0,2,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO, Buenos días a todas y a todos.,0.0,7,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Con su permiso, Presidenta.",0.0,4,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Como bien mencionaba la Presidenta hace rato, hoy se presenta también el Programa Integral de Apoyo a Mujeres Indígenas y Afromexicanas Artesanas. Y qué más que presentarlo en este año 2025, que se ha denominado precisamente el “Año de la Mujer Indígena”.",0.0,42,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Este programa forma parte también de los 100 compromisos que la Presidenta nos presentó aquel 1o. de octubre pasado; y en el punto 24 viene el Apoyo a Mujeres Indígenas Artesanas y el Esquema de Comercialización.,0.0,36,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,¿Qué es lo que hicimos?,0.0,5,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Nos formamos equipos con el Instituto Nacional de los Pueblos Indígenas, con el INPI, y con la Secretaría de Cultura y con la Financiera para el Bienestar, nos fuimos los tres grupos a recorrer —lo que están viendo ustedes ahí— 10 estados, 10 estados de la República, donde platicamos con las mujeres, por una instrucción de la propia Presidenta, que bien nos mencionó: “Váyanse, investiguen, platiquen con ellas, busquen qué quieren, qué necesitan, qué es lo que tenemos que hacer”.",0.0,80,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Hablamos con casi mil mujeres de estos estados y también con productoras de diversos productos.,0.0,15,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Se aplicó un instrumento para detección de las necesidades tanto cuantitativas como cualitativas.,0.0,13,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Tenemos los resultados del diagnóstico de campo:,0.0,7,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Tenemos que un 92 por ciento manifestó necesitar apoyos para elaborar artesanías.,0.0,12,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,83 por ciento tienen problemas para obtener los materiales para elaborar sus productos.,0.0,13,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,71 por ciento considera que sus técnicas tradicionales se están perdiendo.,0.0,11,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"35 por ciento trabajan de manera individual, 44 por ciento en familia y 21 por ciento en grupo.",0.0,18,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,El 56 por ciento dijo que “no se valora el costo real”.,0.0,12,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Y 13 por ciento señaló que “los puntos de venta están muy lejanos”.,0.0,13,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Nos dieron también, en estas entrevistas con ellas, muchísimas propuestas. Solamente estamos tomando aquí dos: el 33 por ciento pide establecer puntos de venta para sus artesanías tanto a nivel local como regional y el 23 por ciento solicita apoyo del gobierno para la protección de sus diseños.",0.0,48,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,¿Cuál es lo que buscamos con este gran Programa Integral de Apoyo?,0.0,12,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Es fomentar el desarrollo sostenible y sustentable de las actividades productivas de las mujeres indígenas y afromexicanas artesanas que tengan 18 años y más, que enfrentan dificultades para el desarrollo de sus actividades productivas.",0.0,34,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,¿Qué es lo que hicimos? Elaborar toda una política pública con transversalidad intercultural y perspectiva indígena y de género.,0.0,19,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"¿Qué es lo que buscamos? Es reducir la brecha financiera entre hombres y mujeres, entre regiones y entre poblaciones, preferentemente en regiones del país tradicionalmente marginadas y con población indígena y afromexicana.",0.0,32,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Por lo mismo, como hacemos una colaboración con estas tres instituciones, encontramos, a raíz de lo que nos dijeron las mujeres, desarrollamos tres componentes para el programa:",0.0,27,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"El primero, apoyos directos para impulsar la producción y la comercialización. También nos pedían apoyo para compras consolidadas, para capital de trabajo, para maquinaria y equipo, para renta de espacios para exhibición y venta, para mercadotecnia, para capacitación, en fin, nos pedían recursos para todo lo que pueda apoyarles de manera directa en la producción de sus artesanías.",0.0,58,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Segundo, también nos pedían capacitación y acompañamiento técnico, educación financiera, rescate de técnicas tradicionales, entre otras.",0.0,16,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Y, por último, el fortalecimiento a la comercialización es un tema que también salió permanentemente.",0.0,15,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"En la que sigue, por favor, vamos a ver que los apoyos directos, los montos los estamos definiendo para personas físicas desde 10 mil hasta 50 mil pesos por cada una de las mujeres solicitantes; y para colectivos solidarios o sociedades cooperativas de producción o de comercialización desde 50 hasta 300 mil pesos.",0.0,53,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Las beneficiarias aceptarán el compromiso solidario para reintegrar el monto de apoyo mediante reembolsos mensuales que irán haciendo en las propias sucursales de la Financiera para el Bienestar, como ustedes saben, mil 700 sucursales en todo el país.",0.0,38,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Iniciáremos —como bien mencionaba también la Presidenta— de inicio contamos con 500 millones de pesos que aporta la propia Financiera para el Bienestar y que estimamos nos alcance para otorgar 12 mil apoyos individuales y mil apoyos para colectivos solidarios o cooperativas.,0.0,42,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Por último, decirles cuál es el mecanismo de operación que hemos diseñado con todo el equipo:",0.0,16,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Primero, ya en febrero, iniciará la difusión de cuáles serán los requisitos y el mecanismo para el acceso al programa; se va a hacer difusión en radios comunitarias, en televisión oficial y en otros medios.",0.0,35,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Segundo, iniciará la recepción de las solicitudes de apoyo, a partir de marzo. —Como bien ven en la lámina— esta recepción se hará tanto en los Centros Coordinadores de los Pueblos Indígenas y Oficinas de Representación del INPI; como en las Unidades de Culturas Populares y Centros INAH de la Secretaría de Cultura; así como en nuestras sucursales de Financiera para el Bienestar.",0.0,63,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Y, por último, a partir del segundo trimestre empezaremos ya la dispersión de los recursos.",0.0,15,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Es cuanto.,0.0,2,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Gracias.,0.0,1,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO," Sí, con su permiso, Presidenta.",0.0,5,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Y como usted nos lo encargó, hemos tenido esta relación de colaboración con Financiera para el Bienestar y con la Secretaría de Cultura, y en particular, nos fuimos a las regiones indígenas del país para hacer las asambleas como lo ha anunciado Rocío.",0.0,43,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Y, en particular, se realizaron 10 talleres con la participación de 712 artesanas pertenecientes a 15 pueblos originarios que participan fundamentalmente en los Planes de Justicia, estamos hablando del pueblo yumano, en Baja California, en la Sierra Tarahumara; con los rarámuris y los pimas, con los wixárikas, na´yeri, o´dam o au´dam y mexikan en los estados de Durango, Jalisco y Nayarit; purépecha, en el estado de Michoacán; amuzgo y afromexicano, en el estado de Guerrero; chinanteco y mazateco, en Oaxaca; maya, en la península de Yucatán; y nahua y tének, en el estado de Veracruz.",0.0,95,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Son los pueblos con los que hicimos las asambleas, los talleres, para tener esta información que hoy está siendo presentado.",0.0,20,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Quisiera destacar de manera rápida cuatro puntos que plantearon nuestras hermanas artesanas:,0.0,12,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"En particular, su preocupación para combatir el regateo y la discriminación, tomando en cuenta el valor y el trabajo que se invierte en la elaboración de las artesanías. Nos platicaban nuestras hermanas amuzgas que hay prendas que llevan seis meses de trabajo y a veces no hay manera de compensar económicamente toda esta labor invertida.",0.0,55,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"También, evitar el uso de tela con iconografía indígena impresa, ya que es producto de la piratería, lo que genera una competencia desleal.",0.0,23,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Rescatar y preservar los diseños tradicionales, a través de la creación de mecanismos para la transmisión del conocimiento a las generaciones futuras.",0.0,22,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Y, finalmente, elaborar, realizar un registro de diseños, iconografías y artes indígenas para su rescate y preservación.",0.0,17,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,Esto es un breve resumen de lo más importante que se ha señalado en la realización de estas asambleas y estos talleres.,0.0,22,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Y en cuanto a la participación del Instituto, nosotros vamos a acompañar, a apoyar para que se focalice bien el programa y haya un efectivo vínculo comunitario, a través del Catálogo Nacional de Pueblos y Comunidades Indígenas y Afromexicanas.",0.0,39,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"También vamos a apoyar el proceso de educación financiera y fortalecimiento de capacidades de las artesanas, a través de la figura de promotores comunitarias que otorga el Programa para el Bienestar Integral de los Pueblos Indígenas.",0.0,36,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Y, finalmente, también vamos a vincular a las artesanas beneficiarias del programa con el sello distintivo “Manos Indígenas. Calidad Mexicana”, que es un sello que nos da el Instituto Mexicano de Propiedad Industrial para fortalecer la identidad de los productos de nuestros pueblos, validando que son productos artesanales elaborados con técnicas tradicionales indígenas.",0.0,53,10,1,2025
DIRECTOR GENERAL DE GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO,"Y, desde luego, Presidenta, yo quiero expresarle que están listos: por un lado, nuestras radiodifusoras culturales indígenas, son 23, vamos a difundir este programa; y también están listos ya nuestros Centros Coordinadores en todas las regiones indígenas del país para recibir las solicitudes que presenten las artesanas indígenas en México.",0.0,50,10,1,2025
