Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GOBERNADORA DE GUERRERO, Muchas gracias.,0.0,2,17,1,2025
GOBERNADORA DE GUERRERO,Muy buenos días a todas y a todos.,0.0,8,17,1,2025
GOBERNADORA DE GUERRERO,"Con su permiso, querida Presidenta.",0.0,5,17,1,2025
GOBERNADORA DE GUERRERO,"Por supuesto, dar la bienvenida al Gabinete Federal, a las compañeras y compañeros de los medios de comunicación.",0.0,18,17,1,2025
GOBERNADORA DE GUERRERO,"Y, bueno, decirles que Guerrero se encuentra de manteles largos, no solo por su regreso, Presidenta, sino también por la relevancia histórica de lo que se anunció y de lo que se va a seguir anunciando en esta tan esperada gira.",0.0,41,17,1,2025
GOBERNADORA DE GUERRERO,"Ayer tuvimos el honor de presenciar el anuncio de un proyecto maravilloso que marcará un antes y un después, no solo para Acapulco, sino para todo Guerrero; un proyecto en el que estamos poniendo todo el corazón, todo el esfuerzo.",0.0,40,17,1,2025
GOBERNADORA DE GUERRERO,"Tenemos la certeza de que va a significar un nuevo amanecer para el hogar del sol. Significa el reconocimiento a la historia de este puerto que tanta alegría ha dado a todo México, a nuestro país; el primer destino de México que enseñó el camino a otros, que hoy con orgullo mantienen a nuestro país como uno de los favoritos a nivel internacional.",0.0,63,17,1,2025
GOBERNADORA DE GUERRERO,"El reconocimiento a su pasado dorado, a todas las familias que han hecho de la excelencia en el servicio una forma de vivir; a estas playas, que podemos decir que son las playas más hermosas del mundo, por la privilegiada naturaleza que tenemos. Y, sobre todo, a nuestros miles de visitantes que a lo largo de tantos años se han llevado en el corazón un pedacito de Acapulco.",0.0,68,17,1,2025
GOBERNADORA DE GUERRERO,"Por eso, quiero reiterar nuestro profundo agradecimiento, reconocimiento a nuestra querida Presidenta, a todo el Gabinete Federal, a compañeras y compañeros que han trabajado incansablemente desde el primer día aquí en el puerto y en todo Guerrero.",0.0,37,17,1,2025
GOBERNADORA DE GUERRERO,"Gracias por nunca soltarnos de la mano, por el apoyo que desde el primer día de su administración nos ha prestado. Este puerto fue el primero que usted visitó siendo Presidenta y por eso, le agradecemos muchísimo, toda esa solidaridad, esa fraternidad y ese apoyo.",0.0,45,17,1,2025
GOBERNADORA DE GUERRERO,"Gracias a todo el Gabinete, que continúan aún muchos ya viviendo aquí, trabajando en labores de retiro de escombros. En fin. estuvieron todas y todos apoyando y siempre al pie del cañón.",0.0,32,17,1,2025
GOBERNADORA DE GUERRERO,"Agradecer al Ejército, la Marina, la Guardia Nacional, Protección Civil, a la Secretaría de Turismo, a Bienestar, a todo el equipo, a Conagua, CFE, SICT, cuyo trabajo invaluable nos permitió recuperar en tiempo récord servicios básicos para todas nuestras comunidades.",0.0,40,17,1,2025
GOBERNADORA DE GUERRERO,"Así que, a todas y a todos los que han caminado en este proceso, desde el fondo de nuestro corazón, les decimos: Gracias. Amor con amor se paga.",0.0,28,17,1,2025
GOBERNADORA DE GUERRERO,"Y así como ustedes han demostrado ese cariño inmenso por Guerrero, así les expresamos nuestro agradecimiento eterno, que siempre será correspondido por el pueblo de Guerrero.",0.0,26,17,1,2025
GOBERNADORA DE GUERRERO,"Este es el comienzo del mañana que soñamos, y que estamos construyendo juntas y juntos.",0.0,15,17,1,2025
GOBERNADORA DE GUERRERO,"Es la hora de Acapulco, es la hora de apostar por su gente, de trabajar sin descanso en los proyectos que se anunciaron el día de ayer, en los proyectos que se van a continuar anunciando. Es tiempo también de comprometernos doblemente, de redoblar esfuerzos como autoridades para hacer realidad las inversiones y para garantizar que este esfuerzo histórico llegue a buen puerto.",0.0,63,17,1,2025
GOBERNADORA DE GUERRERO,"Y, por último, seguir invitando a todas nuestras amigas y amigos que nos ven, a empresarios, a que vengan a Guerrero, a que crean en Acapulco, a que sigan invirtiendo. Tenemos todo para consolidarnos como un excelente destino turístico a nivel nacional y también internacional.",0.0,45,17,1,2025
GOBERNADORA DE GUERRERO,"Así que cierro esta intervención con un verso del Canto a la esperanza, de nuestro nobel Octavio Paz:",0.0,18,17,1,2025
GOBERNADORA DE GUERRERO,"“No perdamos la fe. Yo he creído siempre que el cielo y la tierra se juntan; que soledad y el amor se confunden, que en los muros hay grietas por donde se asoma la luz. El mundo no está terminado, el mundo siempre puede cambiar”.",0.0,45,17,1,2025
GOBERNADORA DE GUERRERO,Muchas gracias a todas y a todos. Y sean una vez más bienvenidos al mejor puerto del mundo: Acapulco.,0.0,19,17,1,2025
GOBERNADORA DE GUERRERO,"Gracias, Presidenta.",0.0,2,17,1,2025
