Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA, Gracias. ¿Cómo se la pasó?,0.0,5,2,1,2025
PREGUNTA, Sobre el tema.,0.0,3,2,1,2025
PREGUNTA,"Antes que nada, Feliz Año. Feliz Año a todas y a todos los presentes, a mis compañeros, compañeras.",0.0,18,2,1,2025
PREGUNTA,"Esta narrativa de la que se está mencionado, el New York Times, que es un periódico o es un medio de comunicación que no es la primera vez que sirve a ciertas narrativas, hay que ponerlo en claro, narrativas que favorecen a gobiernos, al gobierno estadounidense.",0.0,46,2,1,2025
PREGUNTA,"Y hay, incluso, estadística y hay análisis al respecto, a partir de todo esto que se está generando, donde generan toda esta difusión de, yo no diría un trabajo periodístico, sino un trabajo de golpismo, así tal cual; incluso, hay ya varios trabajos periodísticos que están cuestionando este tipo de cosas.",0.0,51,2,1,2025
PREGUNTA,"Y, sin embargo, como usted ha dicho, hay medios de comunicación muy concretos, hay periodistas muy concretos —que no viene al caso hacer una lista aquí, sabemos cuáles son— que alimentan esta narrativa de que no se está haciendo nada, de que… este tipo de escenas, que al final de cuentas, incluso, llegan a esta barbaridad, efectivamente, de que “quien cocina esto se vuelve inmune a gases tóxicos o a cosas tóxicas como estas”.",0.0,74,2,1,2025
PREGUNTA,"La pregunta sería, Presidenta, en este contexto, y ya próximo a la toma de posesión del presidente estadounidense Donald Trump: ¿cuál es su percepción de todo este contexto, de todo esto?",0.0,31,2,1,2025
PREGUNTA,"Porque alimenta también, en consecuencia, y eso se ha visto mucho en las redes por parte de esto, y por parte de granjas de bots, y por parte de todo esto que se alimenta en las redes también para crear esta sensación de que “ahora sí, viene incluso una invasión”, “ahora sí viene…” “y qué bueno que va a haber esto”.",0.0,61,2,1,2025
PREGUNTA,"Y que con la declaración de que haría, eventualmente, porque lo anunció así Donald Trump, el tema de “etiquetar terroristas” a los cárteles, etcétera, “pudiera llegar a haber, incluso, un bombardeo”, así lo han dicho, un asunto de “entrar grupos de élite”.",0.0,42,2,1,2025
PREGUNTA,"¿Qué respondería ante este concreto, Presidenta? ¿Y si usted ve la misma narrativa que se está generando en torno a este momento previo a la toma de posesión?",0.0,28,2,1,2025
PREGUNTA,"Que, por cierto, también quisiera preguntarle de una vez, también en esto, próximo a la toma de posesión de Donald Trump: la presidenta Xiomara Castro que ha salido, la presidenta de Honduras, ha salido a decir que “si se ordenan deportaciones masivas, como lo ha anunciado Donald Trump, sacaría de su país las bases militares de Estados Unidos”, cambiando la política que se ha tenido. También es presidenta. Quisiera preguntarle su opinión al respecto.",0.0,74,2,1,2025
PREGUNTA,Gracias.,0.0,1,2,1,2025
PREGUNTA,"¿Ha hablado con ellos?, ¿Viene alguna reunión al respecto en el tema migratorio del respaldo a las políticas del Gobierno Federal? También sería mi pregunta.",0.0,25,2,1,2025
PREGUNTA,", donde 87 por ciento espera que sea bueno o muy bueno, particularmente en el tema de la economía y seguridad.",0.0,21,2,1,2025
PREGUNTA,"Incluso, de acuerdo también a esta encuesta, 12 puntos son más que esa perspectiva que se tenía desde el año pasado.",0.0,21,2,1,2025
PREGUNTA,"Y también preguntarle sobre el cambio de fiscal en Guanajuato, Carlos Zamarripa, el fiscal que duró casi 16 años en Guanajuato y que deja una estela tremendamente de un crimen desbordado en Guanajuato y que aquí múltiples veces se cuestionó. De acuerdo a estos números que estábamos revisando: más de 25 mil muertes a partir, bueno, durante, más bien, su responsabilidad.",0.0,61,2,1,2025
PREGUNTA,"¿Qué espera de…?, porque eso se tendrá que, obvio, resolver, quién llegará. Ahorita hay alguien de encargado, encargada, pero llegará alguien, una fiscal, un fiscal, nuevo a Guanajuato.",0.0,28,2,1,2025
PREGUNTA,"Aquí, por el propio tema, con la gobernadora ¿ha platicado al respecto?, ¿qué espera sobre esto?, claro, respetando, entiendo, la autonomía del estado, pero entendiendo también la coordinación federal, en particular con la seguridad.",0.0,34,2,1,2025
PREGUNTA,"Le agradezco mucho, me haya dado la palabra, Presidenta.",0.0,9,2,1,2025
PREGUNTA,"Presidenta, en un primer punto, preguntarle: si ¿nos podría dar algún avance de cómo se están preparando los estados de la frontera norte, como Sonora y Baja California, ante una deportación masiva de migrantes de parte de Estados Unidos, a una eventual o lo que pudiera ocurrir?",0.0,47,2,1,2025
PREGUNTA,"¿Qué es lo que han planeado entre la Federación y los estados norteños? No sé si le haya comentado algo la Secretaría de Gobernación, de cómo se están organizando con los estados de Baja California y de Sonora.",0.0,38,2,1,2025
PREGUNTA,"En una segunda pregunta, hace unos días, creo que fue el 30 de diciembre, trabajadores del viaducto elevado del aeropuerto a Playas de Tijuana protestaron. Ellos están argumentando que hay una falta de pago de aguinaldo, así como trabajar sin prestaciones de ley.",0.0,43,2,1,2025
PREGUNTA,"¿Qué sabe al respecto, Presidenta, si le comentaron algo de esto?",0.0,11,2,1,2025
PREGUNTA,"Y, bueno, que nos adelante un poco cómo va esta obra.",0.0,11,2,1,2025
PREGUNTA,Sería todo.,0.0,2,2,1,2025
PREGUNTA,"Este 1o. de enero, según el reporte de seguridad, en 12 estados del país se reportaron cero homicidios.",0.0,18,2,1,2025
PREGUNTA,"En ese contexto, en El Heraldo de México se publica una encuesta de QM Estudios donde señala que el 44 por ciento de los encuestados confía en que mejore la seguridad, el 24 por ciento considera que va a empeorar, y otro 24 por ciento considera que se va a quedar igual.",0.0,52,2,1,2025
PREGUNTA,"¿Qué le depara a México en materia de seguridad en este 2025, Presidenta?",0.0,13,2,1,2025
PREGUNTA,¿Qué responder a esos señalamientos?,0.0,5,2,1,2025
PREGUNTA,"Feliz Año a usted, a su equipo y a todos los compañeros aquí presentes.",0.0,14,2,1,2025
PREGUNTA,Muchísimas gracias por darme la palabra.,0.0,6,2,1,2025
PREGUNTA,Y primero quisiera iniciar preguntándole su opinión acerca de los diferentes actos de violencia o terrorismo que han sucedido en las últimas horas en Estados Unidos. ¿Cuál es su opinión acerca de esta ola de violencia que ha azotado a Estados Unidos?,0.0,42,2,1,2025
PREGUNTA,"También, continuando con un poquito acerca de la economía, le quería preguntar: con la cuesta, de la famosa “cuesta de enero”, su mensaje acerca de esto.",0.0,26,2,1,2025
PREGUNTA,"Y hemos visto, en muchas de las portadas, mensajes no positivos, negativos acerca de la economía de México. Y una de esas es que se van a ir las inversiones, que no hay las inversiones que se esperaban o que no… o que se prevé, incluso, en este sexenio la peor creación de empleo.",0.0,54,2,1,2025
PREGUNTA,"¿Qué mensaje tiene para los mexicanos que ven o que son invadidos especialmente por estas portadas tan negativas a este inicio de año y que cuando uno camina en la calle, no ve esa falta de empleo o no ve esa economía que se está movilizando?",0.0,46,2,1,2025
PREGUNTA,Muchas gracias.,0.0,2,2,1,2025
PREGUNTA,"Presidenta, ahorita que habla del presupuesto, de todo lo que se va a hacer este año, estaba recordando lo que dijo Vicente Fox cuando él era presidente electo; él comentaba, que ya manifestaba su sumisión, incluso, a los gobiernos Priistas y anticipaba el fracaso de su gobierno, antes de iniciar.",0.0,50,2,1,2025
PREGUNTA,"Comentaba que “había un presupuesto raquítico”, que “no era fácil de hacer mucho con tan poco recurso”, que “había una carga acumulada de pensiones y jubilaciones, sueldos y salarios de la burocracia, pago de intereses de la deuda”. Todo eso comentaba.",0.0,41,2,1,2025
PREGUNTA,"De hecho, eso lo sacó el Presidente Andrés Manuel López Obrador el año pasado, el 27 de marzo, aquí sacó el video de Fox hablado al respecto.",0.0,27,2,1,2025
PREGUNTA,Y ahorita…,0.0,2,2,1,2025
PREGUNTA,"Bueno, Presidenta, en materia de seguridad, ahora que comentaba el año pasado, el 30 de diciembre, sobre que va a haber esta reunión histórica con los presidentes municipales y gobernadores del país, hay un tema también que sería importante tocar, el tema de la seguridad, de las Policías municipales porque, de acuerdo a estándares internacionales, las Policías municipales en su gran mayoría no tienen el número de policías que deberían de tener en materia de seguridad.",0.0,76,2,1,2025
PREGUNTA,"Entonces, eso como que hace también que la Guardia Nacional se tenga que desviar un poquito o atenderlos o reforzarlos a veces a los municipios.",0.0,25,2,1,2025
PREGUNTA,"¿Cómo se va a plantear ese tema en la próxima reunión de seguridad o si lo tiene contemplado, Presidenta, hablar sobre este tema de seguridad con los presidentes municipales?",0.0,29,2,1,2025
PREGUNTA,"Digo, sabemos que el fentanilo todavía no está llegando a esos lugares, ¿no?, pero es como que atender las causas desde ahí, desde las escuelas, porque es donde a los alrededores es lo que hemos observado; sobre todo, yo en Querétaro, que vivo, he observado ese tipo de situaciones, que es donde inician.",0.0,53,2,1,2025
PREGUNTA,"¿Cómo atender y cómo lograr inhibir esa parte, Presidenta?",0.0,9,2,1,2025
PREGUNTA,"Sí. Mi inquietud precisamente… Yo antes fui reportero de salud, y una de las cosas que aquí está haciendo ruido y que hay que dejar en claro: uno, precisamente cuando se habla de la elaboración del fentanilo, estaba yo viendo el reportaje, analizando el lugar; es un lugar cerrado, es un lugar que supuestamente está en el centro de Culiacán.",0.0,60,2,1,2025
PREGUNTA,"Y también voy a hacer, voy a retomar lo que hace unos meses el expresidente Andrés Manuel López Obrador y el exsecretario de la Marina nos hacían una exposición precisamente de lo que era la elaboración del fentanilo:",0.0,38,2,1,2025
PREGUNTA,"Uno, se tiene que hacer en lugares abiertos, precisamente por el grado de toxicidad de las sustancias que se están manejando; no solamente de toxicidad, sino también de volatilidad. En este caso están hablando de uno de los componentes, que es la acetona, que es inflamable y explosivo.",0.0,48,2,1,2025
PREGUNTA,¿Por qué hago toda esta alusión?,0.0,6,2,1,2025
PREGUNTA,"Precisamente de todo lo que se ha venido manejando en esta nota periodística, habla de un “cocinero” que llega incluso con un cigarrillo en la mano, de un lugar cerrado.",0.0,30,2,1,2025
PREGUNTA,"Aquí, precisamente, que me gustaría que alguno de los especialistas o en este caso quien nos expuso de la elaboración: el simple hecho de haber llegado a un lugar cerrado, a un lugar sin la protección, ¿qué tipo de protección tendría que haber utilizado en este caso la reportera o el reportero o el fotógrafo precisamente para tomar las fotografías?",0.0,60,2,1,2025
PREGUNTA,"Estamos hablando de una careta industrial, bueno, una careta, mascarilla industrial para filtrar los gases. Eso es, por un lado.",0.0,20,2,1,2025
PREGUNTA,"Por el otro, estamos hablando de, cuando hablamos de las mucosas, estamos hablando de nariz, estamos hablando también de lo que los ojos, estamos hablando de protección especial, estamos hablando aquí de una fabricación de gas, con gas, con una alta concentración de gases muy tóxicos hablábamos, incluso, de la piel. O sea, realmente, es tomar a la ligera un tema muy delicado como es la elaboración de una droga potente.",0.0,71,2,1,2025
PREGUNTA,"Y estamos hablando también de un lugar, estamos hablando de la mitad de la ciudad.",0.0,15,2,1,2025
PREGUNTA,"O sea, ¿sí nos podría especificar de manera científica y de salud, o sea, por qué no podría elaborarse fentanilo en una zona tan cerrada, o en una zona muy habitada?",0.0,31,2,1,2025
PREGUNTA,"Y retomando lo que nos decía en el anterior reportaje del expresidente López Obrador, todos los laboratorios que han sido desmantelados de grandes cantidades de fentanilo han sido en lugares de sierra y han sido lugares abiertos, o sea, independientemente de…",0.0,41,2,1,2025
PREGUNTA,Eso sería todo.,0.0,3,2,1,2025
PREGUNTA,Muchas gracias.,0.0,2,2,1,2025
PREGUNTA,"Señora Presidenta, quisiera preguntarle primero ¿cuál sería el mensaje que usted enviaría hacia los opositores?, que, bueno, iniciaron el año, iniciamos el año y se encontraron con que no hubo ningún aumento en las gasolinas, que era lo que ellos estaban previendo para este inicio de año.",0.0,47,2,1,2025
PREGUNTA,"Y si ¿enviaría también un mensaje qué esperaría hacia el pueblo o hacia los reyes para el día que se aproxima, Día de Reyes Magos?",0.0,25,2,1,2025
PREGUNTA,Gracias.,0.0,1,2,1,2025
