Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA," Con su permiso, Presidenta.",0.0,4,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,Buenos días a todas y a todos.,0.0,7,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Vamos a dar cuenta del trabajo de la Conavi, que le toca construir 500 mil acciones de vivienda en este sexenio, para este año vamos a construir 50 mil.",0.0,29,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Ya traemos, de la reserva territorial: 173 predios en 30 entidades federativas. Estos predios suman, en hectáreas, mil 937 hectáreas y una proyección de 180 viviendas por hectáreas, nos da 319 mil hectáreas.",0.0,33,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,Eso es lo que hasta el día de hoy tiene la Conavi.,0.0,12,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Vamos a iniciar la obra —de hecho, ya estamos trabajando desde diciembre los proyectos ejecutivos— vamos a iniciar la obra en febrero. Ya estamos recibiendo los predios, ocupando los predios, asignando los OEOs, que son Organismos Ejecutores de Obra.",0.0,39,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"En febrero iniciaremos con 26 predios, que son 118 hectáreas y vamos a iniciar 18 mil 501 viviendas en 18 entidades federativas; en marzo: tenemos 17 predios, 78 hectáreas, serían 12 mil 216 viviendas; y en abril: 19 predios, que son 109 hectáreas, serían 19 mil 598 viviendas. Esto suma 50 mil 315 viviendas, que es el programa 2025.",0.0,59,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"En este 2025, vamos a entregar 100 mil mejoramientos para mejorar la vivienda de las familias de los municipios del oriente del Estado de México. Ya tenemos 50 mil listos para entregar las tarjetas, en este mes, ya están agendadas para entregarse; y en el mes de febrero otras 50 mil.",0.0,51,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,¿Aquí qué sectores son los que vamos a priorizar?,0.0,9,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Vamos a priorizar los grupos de mujeres jefas de familia, madres solteras, jóvenes; en jóvenes hay un programa especial de vivienda, de renta para jóvenes que estudian y trabajan; vamos a priorizar la población indígena, adultos mayores y las personas con discapacidad.",0.0,42,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,¿Cómo vamos a construir?,0.0,4,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Los padrones, que es un tema muy importante, hice un esquema de ocho pasos para construir los padrones de beneficiarios del Programa de Vivienda para el Bienestar de Conavi.",0.0,29,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,Uno es que el 100 por ciento de las familias que habitan las zonas de alto riesgo van a ser reubicadas a estos programas y se van a priorizar las zonas de muy alta marginación. Estos son los actores donde vamos a trabajar.,0.0,43,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Se definen a partir de la identificación del predio, los predios ya los estamos trabajando y a partir de ahí se definen las zonas que se van a trabajar. Los predios están en las zonas urbanas y tienen todos los servicios.",0.0,41,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Para trabajar el tema de los diagnósticos de las personas que van a ser beneficiarias tienen varias características, aquí menciono tres que, creo yo, son fundamentales:",0.0,26,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Una es que sean mayores de 18 años y que tengan dependientes económicos, es decir, personas que tienen familia, ya sea hijos o dependen de ellos sus padres o sus abuelos, es decir, personas que tienen dependientes económicos y que tienen un ingreso no mayor a dos salarios mínimos, es decir, que en la actualidad no gane la familia más allá de 17 mil pesos mensuales y que no sean derechohabientes de Infonavit o FOVISSSTE.",0.0,75,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Se va a hacer la convocatoria a través de módulos, módulos informativos, y ahí se va a registrar los que plantean ingresar al proyecto de vivienda, y se realizarán visitas domiciliarias.",0.0,31,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"La selección del padrón va a ser en función de que cumplan con todas las reglas que marca las Reglas de Operación de la Conavi, que tienen que ver con residencia, con que no tengan propiedad, etcétera.",0.0,37,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Se harán Asambleas Informativas con los seleccionados para informarles del calendario de obra, el costo de obra, etcétera, y se instalarán los Comités de la Contraloría Ciudadana que le van a dar seguimiento al ejercicio del recurso público.",0.0,38,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Se construirán, a través de cédulas de información socioeconómica y se integrarán el padrón individual, asistencias individuales. Y eso nos lleva ya a presentarlo al Comité de Financiamiento de la Conavi para ser aprobado el recurso.",0.0,36,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Este es el esquema que construimos. Es obvio que tiene muchos elementos adicionales, para construir los padrones de beneficiarios de la Conavi, pensando en esos sectores vulnerables y en las zonas de muy alta marginalidad.",0.0,35,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Eso es cuanto, Presidenta.",0.0,4,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,Con permiso.,0.0,2,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA, Buenos días. Muchas gracias.,0.0,4,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Con su permiso, Presidenta.",0.0,4,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Una vez que pasa todo lo que acaba de explicar Rodrigo Chávez, entramos nosotros, Financiera para el Bienestar que —como saben— tenemos tres tareas encomendadas:",0.0,25,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,Uno es el envío y la recepción de las remesas.,0.0,10,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Dos, promoción del ahorro.",0.0,4,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Y tres, otorgamiento y colocación de créditos. Aquí es donde entramos nosotros.",0.0,12,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"Una vez que se entrega la vivienda a la persona derechohabiente, firman un contrato con Financiera para el Bienestar para que en ese momento les entregamos su tabla de amortización y todas las personas que logran una vivienda van a saber cómo y cuánto deben de pagar.",0.0,47,27,1,2025
DIRECTOR GENERAL DE LA COMISION NACIONAL DE VIVIENDA,"En ese momento se les entrega también cuáles son las sucursales más cercanas a donde quedó el desarrollo de la vivienda. Como saben ustedes, mil 700 sucursales en todo el país.",0.0,31,27,1,2025
