Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
FISCAL GENERAL DE LA REPUBLICA, Buenos días.,0.0,2,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"La semana pasada, y fue dado a conocer en su momento, el Departamento de Justicia de los Estados Unidos sacó una información respecto a cómo estamos coordinados.",0.0,27,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"El trabajo que se estaba haciendo en la frontera de Nogales y en toda la zona de Arizona, donde el gobierno de los Estados Unidos la semana pasada, el viernes, dio a conocer el éxito de un trabajo coordinado que la parte mexicana, nosotros, pudimos detener y procesar a dos personas y obtener también una buena cantidad de armas de alto poder, mientras con esa misma información el Departamento de Justicia de los Estados Unidos lograba detener a seis personas más y procesarlas.",0.0,83,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"Ese trabajo de coordinación al que se ha referido la señora Presidenta se hace todos los días, de manera permanente, y nosotros lo hemos dado a conocer y forma parte de lo que usted está preguntando concretamente.",0.0,37,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,Muchas gracias.,0.0,2,28,1,2025
FISCAL GENERAL DE LA REPUBLICA," A ver, acabamos de informarles a ustedes cómo estamos trabajando en colaboración las autoridades de justicia de los Estados Unidos y las de México, eso se hizo público.",0.0,28,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"En el caso específico de lo que ocurrió el 26 de julio del año pasado, que es el caso de Ismael Zambada, en eso actuamos nosotros de inmediato, establecimos todo un protocolo de investigación.",0.0,34,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"Y ese protocolo de investigación tiene los resultados que está esperando el gobierno, y en este caso la Fiscalía, la audiencia en la que Ismael Zambada va a llevar a cabo ante las autoridades judiciales federales de los Estados Unidos para ratificar o no, lo que ya nos mandó en una carta que él dio como buena y que fue donde él explicó cuál fue el caso.",0.0,67,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"No hay que perder de vista que Ismael Zambada tiene varias órdenes de aprehensión pendientes en México, y es un proceso que nosotros no vamos a abandonar. Vamos a esperar a que se lleve a cabo esa audiencia.",0.0,38,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,Déjeme decirle algo que creo que es importante:,0.0,8,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"De acuerdo con la ley mexicana, cuando se detiene a una persona hay un plazo de 48 horas para tener la audiencia, 48 horas.",0.0,24,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"Nosotros estamos esperando una audiencia de las autoridades judiciales norteamericanas desde el 26 de julio del año pasado. Ese sí es retraso, eh.",0.0,23,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"Cuando ese retraso se acabe, se lleve a cabo esa audiencia y podamos ratificar lo que la persona que va a declarar y el otro declarante, ya lo tengan en un procedimiento, en ese momento, nosotros culminamos nuestra investigación.",0.0,39,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"Hablar de eso antes, no sería prudente y no es lo que les corresponde a la Fiscalía. No sé si quedó claro.",0.0,22,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,Muchas gracias.,0.0,2,28,1,2025
FISCAL GENERAL DE LA REPUBLICA," Esta información salió en Fox News a finales de la semana pasada y se reiteró, en este momento, ya con este video, y se señalan ahí varias cosas que vale la pena dejar claras:",0.0,34,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"Primero, que hubo una serie de disparos.",0.0,7,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"Que esos disparos se dieron en la línea fronteriza, donde está el río.",0.0,13,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,Que no hay personas heridas.,0.0,5,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"Y que parece que hay dos ámbitos que hay que investigar: Uno, ¿quiénes realizaron? Si es que lo hicieron, esos disparos. Y segundo, los movimientos de los migrantes.",0.0,28,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,Son dos cosas totalmente distintas.,0.0,5,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"Habiendo tantas dudas sobre eso, lo que la señora Presidenta determinó es que la Secretaría de Relaciones Exteriores, a través de los conductos diplomáticos, haga las solicitudes de información correspondientes. Y nosotros por nuestra cuenta ya comenzamos a hacer un requerimiento formal sobre sí hay algún hecho delictivo que el gobierno americano tenga sobre este caso.",0.0,56,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,Yo creo que adelantarnos a dar una respuesta antes de tener esta información no sería correcto.,0.0,16,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,"Entonces, lo que vamos a hacer es esperar a que llegue esta información y en cuanto llegue la daremos a conocer. Pero es una información de Fox News y de ahí se derivó.",0.0,33,28,1,2025
FISCAL GENERAL DE LA REPUBLICA,No sé si queda claro.,0.0,5,28,1,2025
FISCAL GENERAL DE LA REPUBLICA," No, no, no se puede hacer absolutamente nada mientras no se tenga una ratificación de si, efectivamente, hay una denuncia por parte de autoridades norteamericanas que nos ameriten iniciar la investigación, y eso es lo que de inmediato se hizo y lo vamos a tener, yo creo, en un plazo muy corto.",0.0,52,28,1,2025
FISCAL GENERAL DE LA REPUBLICA, Así es.,0.0,2,28,1,2025
