Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA," Gracias. Con su permiso, Presidenta.",0.0,5,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,Muy buenos días a todas y a todos.,0.0,8,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"El día de hoy presentaremos el informe de incidencia delictiva con información preliminar correspondiente al día de ayer, a 27 de enero de 2025.",0.0,24,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,Iniciamos con el promedio diario de víctimas de homicidio doloso en el periodo 2018 a 2025.,0.0,16,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Como les mencionaba, con información preliminar, hasta el día 27 de enero, informamos que se registra un promedio diario de 65.8 víctimas de homicidio doloso en el país.",0.0,28,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"El cálculo con la información consolidada de las Fiscalías estatales a fin de mes, y con la información completa de enero —que le faltan todavía cuatro días— será de aproximadamente 73 homicidios dolosos diarios en promedio —como podemos ver ahí en la gráfica—, es decir, una disminución entre 2018 y 2025 —si cerramos con esta proyección de 73 homicidios dolosos diarios— de cerca del 27 por ciento de disminución.",0.0,69,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Mencionar la diferencia entre el preliminar y la proyección. Como ustedes saben, y les hemos informado aquí en “La Mañanera del pueblo” en otra ocasión, el preliminar lo mandan las Fiscalías estatales todos los días y es una información que se analiza en el Gabinete de Seguridad, y que, incluso, ustedes conocen porque se hace también pública.",0.0,57,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Al final de mes, las Fiscalías estatales consolidan su información y a través del Secretariado Ejecutivo también se hace pública esa información.",0.0,22,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Siempre hay una diferencia —como pueden ver ahí— de aproximadamente entre el 10 y el 13 por ciento. Esta diferencia se da porque puede ser la hora de ocurrencia del homicidio, a lo mejor estaba muy alejado el lugar en donde ocurrió el homicidio y por eso, hay estas diferencias.",0.0,50,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"En esta gráfica les presentamos el número de víctimas por entidad federativa correspondiente solo al mes de enero del 2025. Insisto, información preliminar al 27 de enero. En esta gráfica se puede apreciar que poco más de la mitad de los homicidios del país, es decir, el 53 por ciento, se concentra en tan solo siete estados.",0.0,57,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,Las entidades con el mayor número de homicidios dolosos y que concentran esta… la mitad de homicidios del país son:,0.0,20,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"En primer lugar, Guanajuato, con 13.3 por ciento.",0.0,8,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"El Estado de México, con 8.1 por ciento.",0.0,8,28,1,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Baja California, con 7.9 por ciento.",0.0,6,28,1,2025
