Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTA CLAUDIA SHEINBAUM PARDO, —¿Firmamos de una vez?—,0.0,4,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,(FIRMA DE INICIATIVAS DE LEYES SECUNDARIAS EN MATERIA ENERGÉTICA),0.0,9,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO, Pues esta es la información.,0.0,5,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Saben que durante muchos años de mi vida me dediqué, no solo al estudio, sino a la defensa de la soberanía energética, quizá desde el ’92, que vinieron las primeras reformas a la Ley del Servicio Público de Energía Eléctrica; después, en el año ‘99, cuando Zedillo quiso privatizar la electricidad.",0.0,51,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Escribimos diversos artículos, entonces con Víctor Rodríguez Padilla; y un gran ingeniero nacionalista reconocido nacional e internacionalmente que ya falleció, el ingeniero Viqueira, Jacinto Viqueira.",0.0,25,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Después, en el periodo de 2000 a 2006, aunque era secretaria de Medio Ambiente con el Presidente, entonces jefe de gobierno en la Ciudad, que también desde la Ciudad defendimos el sector eléctrico.",0.0,33,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"En el 2008, con “Adelitas del petróleo”, que coordinamos aquel movimiento de brigadas de mujeres para defender la ofensiva privatizadora de Calderón.",0.0,22,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Después, en el 2013, vino esta reforma tan regresiva de Peña, donde el objetivo era privatizar todo. Que, además, ni siquiera funcionó, era un sentido ideológico y ordenado desde el exterior. En aquella época hubo movilización en la Cámara de Senadores, primero.",0.0,42,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Ya se había firmado el Pacto por México, donde todos los partidos políticos habían firmado la entrega.",0.0,17,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y entonces se empezaba a formar Morena, todavía era una asociación civil. Fue en la época en que al Presidente López Obrador le dio el infarto, justo en aquel momento —tocamos madera—, y se organizó este movimiento afuera del Senado.",0.0,40,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Cuando se aprueba en el Senado fuimos a la Cámara de Diputados. Ahí, recuerdo con el hoy diputado Carlos Castillo que caminando nos —un grupo de porros que habían sido contratados— nos apedrearon.",0.0,33,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Y después, vino la… se consumó la reforma energética y no dio ningún resultado.",0.0,14,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,Decían que “ya no se iba a endeudar Pemex”; lo endeudaron a más del doble.,0.0,15,29,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,Decían que “iba a aumentar la producción de petróleo”; solo cayó la producción de petróleo.,0.0,15,29,1,2025
