Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DIVULGADOR DE LENGUAS INDIGENAS, De muéganos.,0.0,2,14,2,2025
DIVULGADOR DE LENGUAS INDIGENAS," Con su permiso, Presidenta.",0.0,4,14,2,2025
DIVULGADOR DE LENGUAS INDIGENAS,"Tlen ka noyolikniwa. Les acabo de saludar en la lengua náhuatl, una de las variantes que se habla en el estado de Tlaxcala.",0.0,23,14,2,2025
DIVULGADOR DE LENGUAS INDIGENAS,"Hoy, por ser Día del Amor y la Amistad, en “Suave Patria” les queremos regalar un video muy dulce, muy rico, muy mexicano.",0.0,23,14,2,2025
DIVULGADOR DE LENGUAS INDIGENAS,"¿Sabían ustedes que hay un dulce típico, muy delicioso considerado Patrimonio Cultural y Gastronómico de Tlaxcala? Es un dulce que nos engloba a todos, son piezas preparadas con trozos de harina y bañadas en un delicioso piloncillo: Los muéganos.",0.0,39,14,2,2025
DIVULGADOR DE LENGUAS INDIGENAS,"Este pequeño manjar, son preparados, y con la dedicación de estas familias que han transmitido de generación en generación, este gran trabajo. Pero para que se les antoje un poquito más —con su permiso, Presidenta—, veamos la siguiente cápsula.",0.0,39,14,2,2025
DIVULGADOR DE LENGUAS INDIGENAS,(PROYECCIÓN DE VIDEO DE LA SECCIÓN “SUAVE PATRIA” SOBRE LOS MUÉGANOS),0.0,11,14,2,2025
DIVULGADOR DE LENGUAS INDIGENAS," Cada bocado nos transporta a los mercados, a las plazas, nos transporta siempre para compartir todo en familia, porque las y los mexicanos siempre le encontramos a todo.",0.0,28,14,2,2025
DIVULGADOR DE LENGUAS INDIGENAS,¿Cómo nos dicen a las familias que somos muy unidas?,0.0,10,14,2,2025
DIVULGADOR DE LENGUAS INDIGENAS,"Muéganos”, ¿y en dónde? En nuestro gran México.",0.0,8,14,2,2025
DIVULGADOR DE LENGUAS INDIGENAS,Tlasohkamachilía. Muchas Gracias.,0.0,3,14,2,2025
DIVULGADOR DE LENGUAS INDIGENAS,"Muchas gracias, Presidenta.",0.0,3,14,2,2025
