Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTA CLAUDIA SHEINBAUM PARDO, Qué bueno.,0.0,2,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Hoy nos toca salud, martes de salud. Está con nosotros el doctor David Kershenobich, secretario de Salud; el maestro Zoé Robledo, director general del IMSS; Eduardo Clark, subsecretario de Integración y Desarrollo del Sector Salud, y Martí Batres, director del ISSSTE.",0.0,41,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Primero, nos va a hablar el doctor David Kershenobich para que todos sepamos, todos los que traemos gripa, sepamos cómo debemos de cuidarnos.",0.0,23,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Después, Clark —¿verdad?— Eduardo. Ah, ¿empezabas tú?— Ah, bueno, entonces, al revés, Eduardo primero, luego Zoé, luego Martí y luego el doctor Kershenobich.",0.0,23,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,Adelante.,0.0,1,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Gracias, Martí. —David—.",0.0,3,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO, Listo.,0.0,1,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO, —¿Perdón?—,0.0,1,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO, Tema de médicos.,0.0,3,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"—Vamos primero a las filas de adelante. A ver, acá—.",0.0,10,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO, —¿Tienes el dato?—,0.0,3,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO," Ella va a anunciar el día de hoy varias inversiones, tienen un evento, Santander, por eso ya no las mencionamos el día de ayer.",0.0,24,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,Fue una muy buena reunión.,0.0,5,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"El banco Santander, México representa un porcentaje muy importante de no solamente sus clientes, sino de su negocio, y tienen planteada distintas acciones que yo preferiría que lo presentaran, son más de 4 mil millones de pesos, entiendo que… o de dólares, hoy lo vemos —a ver si me ayudan a… Edgar estuvo ahí presente en la reunión— de dólares.",0.0,60,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, son inversiones muy importantes de distinto tipo.",0.0,8,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO, Se está… En esta zona carbonífera de Coahuila —como ustedes saben— hay dos rescates que se están haciendo: uno en la mina “Pasta de Conchos” y la otra en la mina de “El Pinabete”.,0.0,34,18,2,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Pasta de Conchos fue una mina que, en realidad, no se sabe muy bien qué pasó, porque hasta que no se hagan realmente los peritajes, ahora que se está haciendo esta recuperación de los mineros.",0.0,35,18,2,2025
