Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SUBSECRETARIA DE EDUCACION BASICA, Muy buenos días a todas y a todos.,0.0,8,20,2,2025
SUBSECRETARIA DE EDUCACION BASICA,"El día de hoy se lo vamos a dedicar a la literatura, vamos a conocer parte de la obra de Amparo Dávila, quien cumple años, bueno, quien cumpliría años el día de mañana, 21 de febrero. Ella nace en Pinos Altos, Zacatecas, el 21 de febrero de 1928, estaría cumpliendo 97 años, y es una excelente oportunidad para recuperar su obra, su prolífica obra.",0.0,64,20,2,2025
SUBSECRETARIA DE EDUCACION BASICA,"Ella destaca sobre todo en la literatura de ficción, lo que la hace ganar los premios “Xavier Villaurrutia”, el premio también “Jorge Ibargüengoitia” y la Medalla de Bellas Artes.",0.0,29,20,2,2025
SUBSECRETARIA DE EDUCACION BASICA,"Sus obras más importantes son Muerte en el bosque, Tiempo destrozado y, sobre todo, El huésped y otros relatos, y hoy vamos a escuchar sobre El huésped.",0.0,27,20,2,2025
SUBSECRETARIA DE EDUCACION BASICA,"Si estuviera yo en la escuela les diría que se acomoden, que cierren los ojos, que se imaginen, como le decimos a las niñas y los niños, que disfruten el relato, pero sería quitarle la gran producción que hizo, como siempre, el Sistema Público de Radiodifusión, que siempre nos trae magníficas animaciones. Así es que veamos muy atentos y escuchemos, atentas y atentos, la cápsula del día de hoy.",0.0,69,20,2,2025
SUBSECRETARIA DE EDUCACION BASICA,"(PROYECCIÓN DE VIDEO DE LA SECCIÓN “MUJERES EN LA HISTORIA” SOBRE EL HUÉSPED, DE AMPARO DÁVILA)",0.0,16,20,2,2025
SUBSECRETARIA DE EDUCACION BASICA," “La literatura vivencial”, como ella denominó a su obra, cuando le otorgan la medalla en 2015 de la Medalla Bellas Artes refiere en su discurso:",0.0,25,20,2,2025
SUBSECRETARIA DE EDUCACION BASICA,"“Hay textos técnicamente bien escritos, pero que nacen muertos, no quedan en la memoria de quien los lee. Creo en la literatura vivencial, ya que esto, la vivencia, es lo que comunica a la obra y la clara sensación de lo conocido, de lo ya vivido, y hace que perdure en la memoria y en el sentimiento, y constituye su fuerza interior y su más exacta belleza”.",0.0,67,20,2,2025
SUBSECRETARIA DE EDUCACION BASICA,"¿A quién no le dio un poco miedo, con el relato de hoy o algún recuerdo?",0.0,16,20,2,2025
SUBSECRETARIA DE EDUCACION BASICA,"Y, bueno, Amparo Dávila está muy presente en la narrativa mexicana, es una pionera de la ficción. Les invitamos a leer su obra El huésped y otros relatos, y además Las antologías de cuentos y también Tiempo destrozado y Muerte en el bosque.",0.0,43,20,2,2025
SUBSECRETARIA DE EDUCACION BASICA,Que tengan excelente día.,0.0,4,20,2,2025
