Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA, Muy buenos días a todas y a todos.,0.0,8,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Con su permiso, Presidenta.",0.0,4,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"El día de hoy presentaremos el reporte de incidencia delictiva, con datos preliminares, al 24 de febrero de 2025. Tal como lo hemos comentado en ocasiones anteriores, la información proviene de los datos diariamente remitidos por las 32 Fiscalías estatales al Gabinete de Seguridad para su análisis.",0.0,47,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"En esta primera lámina se muestra la tendencia histórica que ha presentado el delito de homicidio doloso en los últimos ocho años, abarcando el periodo de 2018 al 24 de febrero de 2025. La gráfica indica una tendencia a la baja, visiblemente, con un promedio diario de 100.5 víctimas en 2018, que se reduce a 71.6 en el dato preliminar —como decía— con corte al día de ayer. Con cifras preliminares, esta disminución implicaría una reducción del 28.7 por ciento entre 2018 y 2025.",0.0,84,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,Esta siguiente gráfica nos permite visualizar de manera mensual el comportamiento del promedio diario de víctimas de homicidio doloso. Ahí podemos ver mes con mes el promedio de víctimas de homicidio doloso —como decía— de enero de 2024 a lo que llevamos de febrero de 2025.,0.0,46,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Resalta que, desde el inicio de la administración a la fecha, el promedio se ha reducido en un 24.9 por ciento, pasando de un promedio de 86.9 en septiembre al dato preliminar de 65.29 víctimas promedio en febrero.",0.0,38,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,En esta gráfica presentamos las cifras de homicidio doloso que se han registrado durante estos 24 días que lleva febrero en cada una de las entidades federativas. Resaltamos que el 54.37 por ciento de los homicidios se han concentrado en siete estados:,0.0,42,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Destaca Guanajuato, en donde han ocurrido el 15.4 de estos homicidios, esto es el doble de homicidios registrados por el segundo lugar, que es el Estado de México, en donde se han registrado el 7.5 por ciento del total.",0.0,39,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Le sigue, en tercer lugar, Baja California, con 6.7 por ciento.",0.0,11,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Sinaloa, con 6.6 por ciento.",0.0,5,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Michoacán, con 6.5 por ciento.",0.0,5,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Tabasco, con 5.7 por ciento.",0.0,5,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Y Sonora, con 5.7 por ciento.",0.0,6,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,Por mi parte es todo con respecto al informe preliminar de incidencia delictiva con corte al 24 de febrero.,0.0,19,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,En el siguiente informe de seguridad les daremos los datos consolidados y finales correspondientes al mes de febrero.,0.0,18,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,Muchas gracias.,0.0,2,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA," Con su permiso, Presidenta. Muy buenos días.",0.0,7,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"A continuación, informaré algunos de los resultados obtenidos por el Gobierno de México en el marco de la Estrategia Nacional de Seguridad del 1º de octubre del 2024 al 24 de febrero del 2025:",0.0,34,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,Han sido detenidas 13 mil 139 personas por delitos de alto impacto y se han asegurado 6 mil 582 armas de fuego.,0.0,22,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"Se aseguraron 112.8 toneladas de droga, incluyendo mil 260 kilos y un millón 324 mil 924 pastillas de fentanilo.",0.0,19,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,Se han localizado y destruido 329 laboratorios clandestinos para la elaboración de metanfetaminas en 13 estados de la República Mexicana.,0.0,20,25,2,2025
TITULAR DEL SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,"En estas acciones, se han asegurado 482 mil 41 litros y 118 mil 732 kilos de sustancias químicas, 352 reactores de síntesis orgánica, 162 condensadores y 77 destiladores. Estos aseguramientos representan una afectación económica a la delincuencia organizada por más de 300 mil millones de pesos.",0.0,46,25,2,2025
