Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SECRETARIO DE INFRAESTRUCTURA," Con su permiso, Presidenta, señora Presidenta.",0.0,6,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,Buenos días a todas y a todos.,0.0,7,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"A continuación, les compartimos el Programa Nacional de Infraestructura Carretera:",0.0,10,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Para recordar: la infraestructura carretera tiene 43 mil kilómetros de red federal libre de peaje, 10 mil 600 de red federales de cuota, que dan cerca de 54 la red federal de carreteras.",0.0,33,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Y de estas, la red troncal son 19 mil kilómetros, estas son las principales, es donde se mueve un porcentaje muy alto tanto de las personas como de la carga a nivel nacional. Y sobre esta misma red troncal podemos ver algunas de las acciones que estamos planteando para este periodo, son cerca o un poco más de 4 mil kilómetros de longitud y una inversión de 173 mil millones de pesos.",0.0,72,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,Aquí traemos:,0.0,2,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Obras de continuidad por 126 kilómetros, que ahora veremos su avance y sus fechas de conclusión.",0.0,16,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Los ejes, que les hemos llamado prioritarios, con cerca de 3 mil kilómetros.",0.0,13,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,Parte de esto es el programa carretero en Oaxaca como parte del Plan “Lázaro Cárdenas”.,0.0,15,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,Además del programa carretero en Guerrero.,0.0,6,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Y la inversión en 18 puentes, también ahora describiré cuáles son estos y sus fechas de inicio.",0.0,17,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Y la inversión, que le llamamos “mixta”, que es un modelo que le llamamos “Construcción, Mantenimiento, Rehabilitación y Operación”, donde el gobierno tiene la mayoría del porcentaje. Y que ya se hizo uno, que es la Tepic-Compostela, y que se ha utilizado también en dos aeropuertos en la administración pasada. Esto suman cerca de 300 kilómetros.",0.0,56,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Ahora, veremos obras de continuidad: el puente Rizo de Oro, Real del Monte-La Huasca, el puente vehicular Nichupté y San Ignacio - Tayoltita. Aquí tenemos las fechas de conclusión:",0.0,29,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Octubre, el Rizo de Oro.",0.0,5,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"La Huasca, ahora, para el 11 de marzo está lista; ahora, veremos imágenes.",0.0,13,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"El Nichupté, en agosto.",0.0,4,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Y San Ignacio - Tayoltita, en mayo.",0.0,7,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"—Aquí algunas imágenes, el video del recorrido—.",0.0,7,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,Estamos en los últimos colados de un túnel de 700 metros. Y ya estamos en balizamiento y señalización de la mayor parte.,0.0,22,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Estas son imágenes de los últimos días. Son 10 kilómetros que se estarán poniendo en operación a principios de marzo. Aquí vemos parte de la infraestructura, este túnel, que es el que se está concluyendo en el colado. Y después, necesitamos algunos días para bajar la cimbra.",0.0,47,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Tenemos el puente Rizo de Oro, que son 2 kilómetros de vialidades, más el propio puente, que tiene 400 metros de longitud. Aquí podemos ya las torres de montaje. La estructura metálica está prácticamente concluida. Va a ser un puente en arco, es una especie de celosía. Y se estará concluyendo en octubre. Es un puente complejo en cuanto a su construcción, pero está avanzando conforme al programa.",0.0,68,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Acá tenemos el puente Nichupté. Como ven, la parte de conexión con el boulevard está prácticamente terminada. Se trabaja en parapetos. Este puente tiene 11.2 kilómetros, la mayor parte está en la zona lagunar. Se trabaja ya en las dos últimas zapatas de la zona de manglares, que tiene un procedimiento constructivo específico para librar los manglares; y se trabaja en la zona lagunar, en la conclusión de las cimentaciones, que ahí se trabaja con barcazas los montajes, es distinto a la zona lagunar.",0.0,84,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Entonces, se tienen varios frentes de trabajos simultáneos y estamos planteando concluir en agosto.",0.0,14,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Se estudia también la conexión que vieron ahora, se estudia con modelaciones, nos lo ha pedido la gobernadora y se está analizando la manera como se va a conectar con el boulevard. Ahí se ve la zona de manglar y los procedimientos de montaje.",0.0,44,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,Esta es la zona de manglares y adelante se ven las barcazas en la zona de lagunas.,0.0,17,26,2,2025
SECRETARIO DE INFRAESTRUCTURA,"Ahora, San Ignacio - Tayoltita, aquí la Secretaría de la Defensa nos está apoyando en uno de los tramos, específicamente en la zona de Sinaloa.",0.0,25,26,2,2025
