Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA, (Inaudible),0.0,1,3,2,2025
PREGUNTA, (Inaudible),0.0,1,3,2,2025
PREGUNTA,"Preguntarle de este tema, de la llamada con el presidente estadounidense Donald Trump, ¿qué más se pudiera, si hubo el tema también en la plática sobre los migrantes, las migrantes? Las migrantes, los migrantes han hecho una actividad muy intensa estos días, este fin de semana vimos, en las redes sociales han subido constantemente, no solamente videos.",0.0,57,3,2,2025
PREGUNTA,"El día de ayer hubo una manifestación, por ejemplo, en los llamados Freeways en Los Ángeles, California, donde pocas veces se había visto algo así, en fin. A lo largo de muchas ciudades en Estados Unidos donde hay presencia: Nueva York, Chicago, etcétera ha habido esta intensidad.",0.0,47,3,2,2025
PREGUNTA,"Y creo que también pudiéramos… bueno, estaremos en la duda de si en el tema migratorio de la estancia de nuestros migrantes en Estados Unidos e incluso de la entrada de estos mecanismos, ¿se pudieron hablar en esta llamada?",0.0,39,3,2,2025
PREGUNTA,"¿Y qué opina, obviamente, al respecto de estos llamados? ¿Y de esta actuación de los migrantes de nuestras hermanas y hermanos que están en Estados Unidos?",0.0,26,3,2,2025
PREGUNTA,"O sea, no solamente, aquí se ha expuesto por parte del secretario de Economía, pero en Estados Unidos ya hay estas manifestaciones de los propios empresarios estadounidenses, de las propias autoridades de algunos estados donde dicen: “Pues, esto nos va a afectar”, le piden, obviamente, a su propio Presidente, en este caso a Donald Trump, que revise.",0.0,57,3,2,2025
PREGUNTA,"Y hay una encuesta que se publica en estos días sobre si, ¿los estadounidenses están de acuerdo con imponer nuevos aranceles a las importaciones de México? Y la mayoría, el 55 por ciento lo rechaza; lo apoya solo el 41 por ciento. Y esto tiene unos días que salió, fue publicado, seguramente usted ya lo vio.",0.0,56,3,2,2025
PREGUNTA,¿Qué opina al respecto también de estas inconformidades que en el propio país vecino se empiezan a dar?,0.0,18,3,2,2025
PREGUNTA,"Y, por último, preguntarle. También en las redes sociales a propósito de Canadá que usted también ha dicho que ya tiene comunicación directa —en este caso— con el primer ministro de Trudeau.",0.0,32,3,2,2025
PREGUNTA,"Es interesante también cómo están reaccionando —digo, por decirlo menos—, ellos tendrán su propia política —estamos entendidos—, en las propias provincias canadienses en vender o no vender o elevar aranceles, etcétera, el propio esquema que tiene el canadiense frente a Estados Unidos y lo que le vende o lo que se provee o lo que les venden.",0.0,57,3,2,2025
PREGUNTA,"Y esto viene a la pregunta, en Canadá, hemos visto que están marcados con etiquetas lo que está hecho en Canadá, incluso, han retirado una cantidad importante sobre el tema de alcohol estadounidense, que hay un gran consumo en Canadá proveniente de Estados Unidos.",0.0,44,3,2,2025
PREGUNTA,"Preguntarle ¿qué tanto ve viable también fortalecer, paralelamente, y no, sin entorpecer, obvio, este tipo de negociaciones que ya ha anunciado, que ya están en marcha a partir de la llamada; fortalecer también el consumo interno y también mirar hacia otros mercados sin descuidar, obviamente, el norte? ¿Abrir hacia otros países, hacia la propia Latinoamérica, Europa, etcétera?",0.0,57,3,2,2025
PREGUNTA,"¿Hay camino hacia allá?, ¿qué tipo de estrategia? Y repito, fortalecer, ¿usted lo ve viable de alguna manera un tipo de campaña? Los propios productos que se hacen en México para no sustituir, pero sí empezar a promover y que este tipo de cosas llegaran a afectar menos?",0.0,48,3,2,2025
PREGUNTA,Esa sería…,0.0,2,3,2,2025
PREGUNTA,", Presidenta.",0.0,2,3,2,2025
PREGUNTA,"Yo quisiera preguntarle, por suerte, no hay mercados financieros hoy, el dólar apenas está en el tipo de cambio en 20.44, ha llegado en estos días a estar en 21.",0.0,30,3,2,2025
PREGUNTA,"Pero sí conocer ¿qué instrucción dio al secretario de Hacienda, a Rogelio Ramírez de la O, para hablar con los inversionistas de manera privada? Lo que se dice es que va a reafirmar que hay apoyos a las inversiones.",0.0,39,3,2,2025
PREGUNTA,¿Qué otra instrucción dio al secretario de Hacienda?,0.0,8,3,2,2025
PREGUNTA,"Esta parte de la incertidumbre. Aquí yo le quisiera preguntar, si ¿cabría dentro de los planes que tiene previstos? Para empezar ¿cuál fue el primer, el Plan A?, ¿es el de haber descartado que se llevara a cabo los aranceles?",0.0,40,3,2,2025
PREGUNTA,"Y la otra es también, ver hacia Europa, finalmente el Tratado con la Unión Europea desde el 2000, incrementó el comercio…",0.0,21,3,2,2025
PREGUNTA," Buenos días, Presidenta. Víctor Bárcenas, de Radio Educación.",0.0,8,3,2,2025
PREGUNTA,"Preguntarle, exactamente, si ¿tienen ya alguna fecha precisa para un encuentro directo entre el secretario de Economía con el secretario de Comercio de Estados Unidos Mexicanos, para…?, ¿y bajo qué argumentación se le va a convencer al presidente Trump de la imposibilidad de que pueda darse esta “guerra comercial” con el incremento de aranceles del 25 por ciento?",0.0,58,3,2,2025
PREGUNTA,¿Cuáles son los argumentos para convencer en este mes de negociación de la imposibilidad de que prosperen estos aranceles? No sé si quiera comentar algo.,0.0,25,3,2,2025
PREGUNTA,"Mi segunda pregunta, Presidenta, en el ámbito de seguridad, el Presidente Trump está asumiendo este compromiso de resolver el problema del tráfico de armas, en la respuesta que le dio, ¿hay confianza de que este asunto se disminuya, para que disminuya también la violencia en el país?",0.0,47,3,2,2025
PREGUNTA,A mí me interesa ser muy específico en el método de trabajo de estos dos equipos que se determinó que comenzarán a operar: el de seguridad y el de Economía.,0.0,30,3,2,2025
PREGUNTA,"¿Son a visita recíproca?, ¿llamadas a distancia?, ¿cómo se va a evaluar los alcances de estos equipos? Y, sobre todo, ¿cómo se va a evaluar el compromiso del gobierno de Estados Unidos para frenar el tráfico de armas hacia México?, ¿en qué momento se va a llevar a cabo una evaluación?",0.0,51,3,2,2025
PREGUNTA,"Porque lo que nos anuncian, ahora, es que se pospone un mes, se tiene que hacer una evaluación y, eventualmente, volveremos al inicio de como estábamos ayer o antier.",0.0,29,3,2,2025
PREGUNTA," ¿Habrá también, en algún momento, que establecer una fecha para hacer esta evaluación y determinar qué sigue? Insisto, es un mes solamente lo que se ganó en esta…",0.0,28,3,2,2025
PREGUNTA," Hace unos minutos, sí, claro.",0.0,5,3,2,2025
PREGUNTA," Ahora, en la Frontera Norte se van a desplegar 10 mil elementos, me imagino que será de manera uniforme en toda la frontera, ¿se habló de un…?",0.0,27,3,2,2025
PREGUNTA, ¿Hoy a las 12:00?,0.0,4,3,2,2025
PREGUNTA," Algo que ya le comentaba mi compañera Mara, el secretario de Hacienda estará reuniéndose, entonces, con empresarios, no sé, seguramente con Cámaras empresariales, representaciones, para explicarles también este plan, bueno, los resultados.",0.0,32,3,2,2025
PREGUNTA,"¿Cómo se va a evaluar el compromiso, insisto, del gobierno de Estados Unidos para que ya no haya ese tráfico ilegal de armas hacia México?, ¿el gobierno que usted encabeza será el que determine si se ha cumplido con este compromiso del gobierno de Donald Trump?, ¿o se está esperando un informe del propio gobierno de Donald Trump acerca de este tema?",0.0,62,3,2,2025
PREGUNTA,"Desde su punto de vista el presidente Trump había venido con un tono bastante altanero, al parecer. ¿Usted cómo fue su percepción ahora que habló con él?, ¿“le bajo de espuma a su chocolate”?",0.0,34,3,2,2025
