Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SECRETARIA DE ENERGIA," Con su permiso, Presidenta.",0.0,4,5,2,2025
SECRETARIA DE ENERGIA,Saludo con mucho gusto a todas y a todos.,0.0,9,5,2,2025
SECRETARIA DE ENERGIA,"Al gobernador Kuri, con el cual hemos trabajado intensamente en el sector energético también en pro de sus inversiones y en pro del desarrollo del estado.",0.0,26,5,2,2025
SECRETARIA DE ENERGIA,"Hoy presentamos un programa de gran relevancia para nuestro país: el Plan de Fortalecimiento y Expansión del Sistema Eléctrico Nacional, comandado por la Comisión Federal de Electricidad, con el cual vamos a garantizar el abasto de energía eléctrica para todas y todos los mexicanos: energía suficiente, sustentable, confiable, asequible, para el desarrollo del país y el bienestar del pueblo de México.",0.0,61,5,2,2025
SECRETARIA DE ENERGIA,"Durante décadas, la CFE ha sido la columna vertebral del suministro eléctrico en este país desde su fundación, ya que antes la energía eléctrica, el servicio estaba en manos privadas con una cobertura muy limitada y sin regulación.",0.0,38,5,2,2025
SECRETARIA DE ENERGIA,"Pero, sobre todo, a partir de la nacionalización de la industria eléctrica en 1960, es gracias al Estado y a la CFE que se logró en las siguientes décadas lograr una cobertura que pasó del 40 por ciento a más del 95 por ciento de la energía eléctrica en este país. Eso lo hizo el Estado mexicano con el apoyo y con la comandancia de la CFE.",0.0,67,5,2,2025
SECRETARIA DE ENERGIA,"Sin embargo, con la mal llamada “reforma energética” de 2013 y desde antes con algunas políticas, desde 1992, se puso en riesgo todo el Sistema Eléctrico Nacional y se comprometió la soberanía energética y la seguridad energética del país.",0.0,39,5,2,2025
SECRETARIA DE ENERGIA,"De no haber intervenido a tiempo el expresidente López Obrador, actualmente —y de seguir las cosas como iban— la CFE estaría el día de hoy produciendo solo el 16 por ciento de la energía del país con un impacto negativo muy, muy fuerte en términos de acceso, de justicia energética y de confiabilidad del Sistema Nacional.",0.0,56,5,2,2025
SECRETARIA DE ENERGIA,"La reforma de 2013 obligaba a la CFE a su fragmentación, quiso hacer ver ante el pueblo de México que la CFE era una empresa ineficiente, la dividieron en pedazos y la obligaron a competir contra ella misma, dejándola con muy poco margen de operación; algo que no ha ocurrido en ninguna empresa ni pública ni privada del mundo.",0.0,59,5,2,2025
SECRETARIA DE ENERGIA,"Estas políticas de este periodo neoliberal trajeron consecuencias, muchas consecuencias negativas: la planeación del sector dejó de centrarse en la seguridad y la estabilidad del sistema y prácticamente desapareció y se sustituyó por una lógica de mercado que priorizaba el beneficio económico de las empresas sobre el bienestar de la sociedad.",0.0,51,5,2,2025
SECRETARIA DE ENERGIA,"El día de ayer recibió el Senado el paquete de reformas a las leyes secundarias —estuvimos ayer con los senadores— que complementan las reformas constitucionales a áreas estratégicas que ponen fin y revierten de forma definitiva esta situación, consolidando el rescate y fortalecimiento tanto de la Comisión Federal de Electricidad como de Petróleos Mexicanos.",0.0,54,5,2,2025
SECRETARIA DE ENERGIA,"El nuevo marco regulatorio le devuelve a CFE al pueblo de México, retomando su carácter público y refuerza su responsabilidad para garantizar la sostenibilidad y la accesibilidad del sistema.",0.0,29,5,2,2025
SECRETARIA DE ENERGIA,"Se impulsan cambios dentro de la legislación que le va a permitir a la CFE operar con mayor eficiencia y capacidad, eliminando estas barreras absurdas impuestas en el pasado y permitiendo su reintegración vertical y horizontal.",0.0,36,5,2,2025
SECRETARIA DE ENERGIA,"Y se establece que las actividades que realiza la CFE y también Pemex nunca pueden ser consideradas como monopólicas, porque cumplen una función social de proveer un servicio básico, un servicio público.",0.0,32,5,2,2025
SECRETARIA DE ENERGIA,"No pueden ser consideradas monopólicas, porque también es la CFE la que lleva energía a lugares de nuestro país alejados, a comunidades y pueblos indígenas y originarios, donde a veces “no es rentable” en un sentido económico —como lo piensa la ortodoxia— el llevar este servicio, pero es fundamental para el desarrollo de nuestro país.",0.0,55,5,2,2025
SECRETARIA DE ENERGIA,No son monopólicas sus acciones porque es una de las primeras instituciones en responder cuando hay emergencias ambientales y cuando hay catástrofes en este país.,0.0,25,5,2,2025
